bairro,data,casos
ARAXA,2020-05-21,1
ARAXA,2020-05-22,1
ARAXA,2020-05-23,1
ARAXA,2020-05-24,1
ARAXA,2020-05-25,1
ARAXA,2020-05-26,1
ARAXA,2020-05-27,1
ARAXA,2020-05-28,1
ARAXA,2020-05-29,1
ARAXA,2020-05-30,1
ARAXA,2020-05-31,1
ARAXA,2020-06-01,1
ARAXA,2020-06-02,1
ARAXA,2020-06-03,1
ARAXA,2020-06-04,1
ARAXA,2020-06-05,1
ARAXA,2020-06-06,1
ARAXA,2020-06-07,1
ARAXA,2020-06-08,1
ARAXA,2020-06-09,1
ARAXA,2020-06-10,1
ARAXA,2020-06-11,1
ARAXA,2020-06-12,1
ARAXA,2020-06-13,1
ARAXA,2020-06-14,1
ARAXA,2020-06-15,1
ARAXA,2020-06-16,1
ARAXA,2020-06-17,1
ARAXA,2020-06-18,1
ARAXA,2020-06-19,1
ARAXA,2020-06-20,1
ARAXA,2020-06-21,1
ARAXA,2020-06-22,1
ARAXA,2020-06-23,1
ARAXA,2020-06-24,1
ARAXA,2020-06-25,1
ARAXA,2020-06-26,1
ARAXA,2020-06-27,1
ARAXA,2020-06-28,1
ARAXA,2020-06-29,1
ARAXA,2020-06-30,1
ARAXA,2020-07-01,1
ARAXA,2020-07-02,1
ARAXA,2020-07-03,1
ARAXA,2020-07-04,1
ARAXA,2020-07-05,1
ARAXA,2020-07-06,1
ARAXA,2020-07-07,1
ARAXA,2020-07-08,1
ARAXA,2020-07-09,1
ARAXA,2020-07-10,1
ARAXA,2020-07-11,1
ARAXA,2020-07-12,1
ARAXA,2020-07-13,1
ARAXA,2020-07-14,1
ARAXA,2020-07-15,1
ARAXA,2020-07-16,1
ARAXA,2020-07-17,1
ARAXA,2020-07-18,1
ARAXA,2020-07-19,1
ARAXA,2020-07-20,1
ARAXA,2020-07-21,1
ARAXA,2020-07-22,1
ARAXA,2020-07-23,1
ARAXA,2020-07-24,1
ARAXA,2020-07-25,1
ARAXA,2020-07-26,1
ARAXA,2020-07-27,1
ARAXA,2020-07-28,1
ARAXA,2020-07-29,1
ARAXA,2020-07-30,1
ARAXA,2020-07-31,1
ARAXA,2020-08-01,1
ARAXA,2020-08-02,1
ARAXA,2020-08-03,1
ARAXA,2020-08-04,1
ARAXA,2020-08-05,1
ARAXA,2020-08-06,1
ARAXA,2020-08-07,1
ARAXA,2020-08-08,1
ARAXA,21-05-2020,1
ARAXA,23-05-2020,1
ARAXA,25-05-2020,2
ARAXA,27-05-2020,5
ARAXA,28-05-2020,5
ARAXA,29-05-2020,6
ARAXA,02-06-2020,9
ARAXA,05-06-2020,10
ARAXA,08-06-2020,10
ARAXA,09-06-2020,11
ARAXA,10-06-2020,15
ARAXA,11-06-2020,17
ARAXA,12-06-2020,17
ARAXA,16-06-2020,17
ARAXA,18-06-2020,18
ARAXA,22-06-2020,18
ARAXA,24-06-2020,20
ARAXA,25-06-2020,22
ARAXA,29-06-2020,22
ARAXA,01-07-2020,22
ARAXA,02-07-2020,22
ARAXA,05-07-2020,22
ARAXA,06-07-2020,23
ARAXA,08-07-2020,26
ARAXA,13-07-2020,28
ARAXA,17-07-2020,28
ARAXA,22-07-2020,30
ARAXA,23-07-2020,30
ARAXA,24-07-2020,31
ARAXA,28-07-2020,32
ARAXA,29-07-2020,32
ARAXA,02-08-2020,32
ARAXA,07-08-2020,32
ARAXA,08-08-2020,32
