bairro,data,casos
BELA VISTA,2020-09-05,1
BELA VISTA,2020-09-06,1
BELA VISTA,2020-09-07,1
BELA VISTA,2020-09-08,1
BELA VISTA,2020-09-09,1
BELA VISTA,2020-09-10,1
BELA VISTA,2020-09-11,1
BELA VISTA,2020-09-12,1
BELA VISTA,2020-09-13,1
BELA VISTA,2020-09-14,1
BELA VISTA,2020-09-15,1
BELA VISTA,2020-09-16,1
BELA VISTA,2020-09-17,1
BELA VISTA,2020-09-18,1
BELA VISTA,2020-09-19,1
BELA VISTA,2020-09-20,1
BELA VISTA,2020-09-21,1
BELA VISTA,2020-09-22,1
BELA VISTA,2020-09-23,1
BELA VISTA,2020-09-24,1
BELA VISTA,2020-09-25,1
BELA VISTA,2020-09-26,1
BELA VISTA,2020-09-27,1
BELA VISTA,2020-09-28,1
BELA VISTA,2020-09-29,1
BELA VISTA,2020-09-30,1
BELA VISTA,2020-10-01,1
BELA VISTA,2020-10-02,1
BELA VISTA,2020-10-03,1
BELA VISTA,2020-10-04,1
BELA VISTA,2020-10-05,1
BELA VISTA,2020-10-06,1
BELA VISTA,2020-10-07,1
BELA VISTA,2020-10-08,1
BELA VISTA,2020-10-09,1
BELA VISTA,2020-10-10,1
BELA VISTA,2020-10-11,1
BELA VISTA,2020-10-12,1
BELA VISTA,2020-10-13,1
BELA VISTA,2020-10-14,1
BELA VISTA,2020-10-15,1
BELA VISTA,2020-10-16,1
BELA VISTA,2020-10-17,1
BELA VISTA,2020-10-18,1
BELA VISTA,2020-10-19,1
BELA VISTA,2020-10-20,1
BELA VISTA,2020-10-21,1
BELA VISTA,2020-10-22,1
BELA VISTA,2020-10-23,1
BELA VISTA,2020-10-24,1
BELA VISTA,2020-10-25,1
BELA VISTA,2020-10-26,1
BELA VISTA,2020-10-27,1
BELA VISTA,2020-10-28,1
BELA VISTA,2020-10-29,1
BELA VISTA,2020-10-30,1
BELA VISTA,2020-10-31,1
BELA VISTA,2020-11-01,1
BELA VISTA,2020-11-02,1
BELA VISTA,2020-11-03,1
BELA VISTA,2020-11-04,1
BELA VISTA,2020-11-05,1
BELA VISTA,2020-11-06,1
BELA VISTA,2020-11-07,1
BELA VISTA,2020-11-08,1
BELA VISTA,2020-11-09,1
BELA VISTA,2020-11-10,1
BELA VISTA,2020-11-11,1
BELA VISTA,2020-11-12,1
BELA VISTA,2020-11-13,1
BELA VISTA,2020-11-14,1
BELA VISTA,2020-11-15,1
BELA VISTA,2020-11-16,1
BELA VISTA,2020-11-17,1
BELA VISTA,2020-11-18,1
BELA VISTA,2020-11-19,1
BELA VISTA,2020-11-20,1
BELA VISTA,2020-11-21,1
BELA VISTA,2020-11-22,1
BELA VISTA,2020-11-23,1
BELA VISTA,2020-11-24,1
BELA VISTA,2020-11-25,1
BELA VISTA,2020-11-26,1
BELA VISTA,2020-11-27,1
BELA VISTA,2020-11-28,1
BELA VISTA,2020-11-29,1
BELA VISTA,2020-11-30,1
BELA VISTA,2020-12-01,1
BELA VISTA,2020-12-02,1
BELA VISTA,2020-12-03,1
BELA VISTA,2020-12-04,1
BELA VISTA,2020-12-05,1
BELA VISTA,2020-12-06,1
BELA VISTA,2020-12-07,1
BELA VISTA,2020-12-08,1
BELA VISTA,09-05-2020,1
BELA VISTA,12-05-2020,1
BELA VISTA,13-05-2020,2
BELA VISTA,14-05-2020,3
BELA VISTA,19-05-2020,5
BELA VISTA,20-05-2020,7
BELA VISTA,22-05-2020,7
BELA VISTA,23-05-2020,9
BELA VISTA,25-05-2020,11
BELA VISTA,27-05-2020,11
BELA VISTA,28-05-2020,14
BELA VISTA,29-05-2020,18
BELA VISTA,04-06-2020,19
BELA VISTA,05-06-2020,20
BELA VISTA,06-06-2020,20
BELA VISTA,07-06-2020,20
BELA VISTA,08-06-2020,27
BELA VISTA,09-06-2020,32
BELA VISTA,10-06-2020,38
BELA VISTA,12-06-2020,39
BELA VISTA,13-06-2020,39
BELA VISTA,14-06-2020,39
BELA VISTA,15-06-2020,39
BELA VISTA,17-06-2020,42
BELA VISTA,19-06-2020,42
BELA VISTA,20-06-2020,42
BELA VISTA,22-06-2020,45
BELA VISTA,24-06-2020,46
BELA VISTA,29-06-2020,49
BELA VISTA,30-06-2020,49
BELA VISTA,01-07-2020,52
BELA VISTA,02-07-2020,52
BELA VISTA,06-07-2020,54
BELA VISTA,07-07-2020,55
BELA VISTA,10-07-2020,56
BELA VISTA,13-07-2020,56
BELA VISTA,14-07-2020,56
BELA VISTA,15-07-2020,57
BELA VISTA,16-07-2020,57
BELA VISTA,17-07-2020,64
BELA VISTA,18-07-2020,64
BELA VISTA,20-07-2020,64
BELA VISTA,21-07-2020,64
BELA VISTA,22-07-2020,64
BELA VISTA,23-07-2020,64
BELA VISTA,24-07-2020,69
BELA VISTA,25-07-2020,69
BELA VISTA,27-07-2020,73
BELA VISTA,28-07-2020,73
BELA VISTA,29-07-2020,75
BELA VISTA,30-07-2020,77
BELA VISTA,31-07-2020,80
BELA VISTA,03-08-2020,80
BELA VISTA,04-08-2020,80
BELA VISTA,06-08-2020,80
BELA VISTA,07-08-2020,80
BELA VISTA,10-08-2020,81
BELA VISTA,11-08-2020,81
BELA VISTA,12-08-2020,81
