bairro,data,casos
BODOCONGO,2020-04-17,1
BODOCONGO,2020-04-18,1
BODOCONGO,2020-04-19,1
BODOCONGO,2020-04-20,1
BODOCONGO,2020-04-21,1
BODOCONGO,2020-04-22,1
BODOCONGO,2020-04-23,1
BODOCONGO,2020-04-24,1
BODOCONGO,2020-04-25,1
BODOCONGO,2020-04-26,1
BODOCONGO,2020-04-27,1
BODOCONGO,2020-04-28,1
BODOCONGO,2020-04-29,1
BODOCONGO,2020-04-30,1
BODOCONGO,2020-05-01,1
BODOCONGO,2020-05-02,1
BODOCONGO,2020-05-03,1
BODOCONGO,2020-05-04,1
BODOCONGO,2020-05-05,1
BODOCONGO,2020-05-06,1
BODOCONGO,2020-05-07,1
BODOCONGO,2020-05-08,1
BODOCONGO,2020-05-09,1
BODOCONGO,2020-05-10,1
BODOCONGO,2020-05-11,1
BODOCONGO,2020-05-12,1
BODOCONGO,2020-05-13,1
BODOCONGO,2020-05-14,1
BODOCONGO,2020-05-15,1
BODOCONGO,2020-05-16,1
BODOCONGO,2020-05-17,1
BODOCONGO,2020-05-18,1
BODOCONGO,2020-05-19,1
BODOCONGO,2020-05-20,1
BODOCONGO,2020-05-21,1
BODOCONGO,2020-05-22,1
BODOCONGO,2020-05-23,1
BODOCONGO,2020-05-24,1
BODOCONGO,2020-05-25,1
BODOCONGO,2020-05-26,1
BODOCONGO,2020-05-27,1
BODOCONGO,2020-05-28,1
BODOCONGO,2020-05-29,1
BODOCONGO,2020-05-30,1
BODOCONGO,2020-05-31,1
BODOCONGO,2020-06-01,1
BODOCONGO,2020-06-02,1
BODOCONGO,2020-06-03,1
BODOCONGO,2020-06-04,1
BODOCONGO,2020-06-05,1
BODOCONGO,2020-06-06,1
BODOCONGO,2020-06-07,1
BODOCONGO,2020-06-08,1
BODOCONGO,2020-06-09,1
BODOCONGO,2020-06-10,1
BODOCONGO,2020-06-11,1
BODOCONGO,2020-06-12,1
BODOCONGO,2020-06-13,1
BODOCONGO,2020-06-14,1
BODOCONGO,2020-06-15,1
BODOCONGO,2020-06-16,1
BODOCONGO,2020-06-17,1
BODOCONGO,2020-06-18,1
BODOCONGO,2020-06-19,1
BODOCONGO,2020-06-20,1
BODOCONGO,2020-06-21,1
BODOCONGO,2020-06-22,1
BODOCONGO,2020-06-23,1
BODOCONGO,2020-06-24,1
BODOCONGO,2020-06-25,1
BODOCONGO,2020-06-26,1
BODOCONGO,2020-06-27,1
BODOCONGO,2020-06-28,1
BODOCONGO,2020-06-29,1
BODOCONGO,2020-06-30,1
BODOCONGO,2020-07-01,1
BODOCONGO,2020-07-02,1
BODOCONGO,2020-07-03,1
BODOCONGO,2020-07-04,1
BODOCONGO,2020-07-05,1
BODOCONGO,2020-07-06,1
BODOCONGO,2020-07-07,1
BODOCONGO,2020-07-08,1
BODOCONGO,2020-07-09,1
BODOCONGO,2020-07-10,1
BODOCONGO,2020-07-11,1
BODOCONGO,2020-07-12,1
BODOCONGO,2020-07-13,1
BODOCONGO,2020-07-14,1
BODOCONGO,2020-07-15,1
BODOCONGO,2020-07-16,1
BODOCONGO,2020-07-17,1
BODOCONGO,2020-07-18,1
BODOCONGO,2020-07-19,1
BODOCONGO,2020-07-20,1
BODOCONGO,2020-07-21,1
BODOCONGO,2020-07-22,1
BODOCONGO,2020-07-23,1
BODOCONGO,2020-07-24,1
BODOCONGO,2020-07-25,1
BODOCONGO,2020-07-26,1
BODOCONGO,2020-07-27,1
BODOCONGO,2020-07-28,1
BODOCONGO,2020-07-29,1
BODOCONGO,2020-07-30,1
BODOCONGO,2020-07-31,1
BODOCONGO,2020-08-01,1
BODOCONGO,2020-08-02,1
BODOCONGO,2020-08-03,1
BODOCONGO,2020-08-04,1
BODOCONGO,2020-08-05,1
BODOCONGO,2020-08-06,1
BODOCONGO,2020-08-07,1
BODOCONGO,2020-08-08,1
BODOCONGO,2020-08-09,1
BODOCONGO,2020-08-10,1
BODOCONGO,2020-08-11,1
BODOCONGO,2020-08-12,1
BODOCONGO,2020-08-13,1
BODOCONGO,17-04-2020,1
BODOCONGO,23-04-2020,1
BODOCONGO,03-05-2020,1
BODOCONGO,05-05-2020,2
BODOCONGO,06-05-2020,2
BODOCONGO,07-05-2020,3
BODOCONGO,09-05-2020,3
BODOCONGO,11-05-2020,3
BODOCONGO,13-05-2020,5
BODOCONGO,14-05-2020,5
BODOCONGO,15-05-2020,12
BODOCONGO,16-05-2020,13
BODOCONGO,17-05-2020,14
BODOCONGO,18-05-2020,17
BODOCONGO,19-05-2020,21
BODOCONGO,20-05-2020,21
BODOCONGO,21-05-2020,25
BODOCONGO,22-05-2020,35
BODOCONGO,23-05-2020,36
BODOCONGO,25-05-2020,40
BODOCONGO,27-05-2020,44
BODOCONGO,28-05-2020,47
BODOCONGO,29-05-2020,52
BODOCONGO,30-05-2020,57
BODOCONGO,31-05-2020,57
BODOCONGO,01-06-2020,61
BODOCONGO,02-06-2020,66
BODOCONGO,03-06-2020,75
BODOCONGO,04-06-2020,77
BODOCONGO,05-06-2020,83
BODOCONGO,06-06-2020,89
BODOCONGO,07-06-2020,103
BODOCONGO,08-06-2020,116
BODOCONGO,09-06-2020,119
BODOCONGO,10-06-2020,128
