bairro,data,casos
CATOLE,2020-05-04,1
CATOLE,2020-05-05,1
CATOLE,2020-05-06,1
CATOLE,2020-05-07,1
CATOLE,2020-05-08,1
CATOLE,2020-05-09,1
CATOLE,2020-05-10,1
CATOLE,2020-05-11,1
CATOLE,2020-05-12,1
CATOLE,2020-05-13,1
CATOLE,2020-05-14,1
CATOLE,2020-05-15,1
CATOLE,2020-05-16,1
CATOLE,2020-05-17,1
CATOLE,2020-05-18,1
CATOLE,2020-05-19,1
CATOLE,2020-05-20,1
CATOLE,2020-05-21,1
CATOLE,2020-05-22,1
CATOLE,2020-05-23,1
CATOLE,2020-05-24,1
CATOLE,2020-05-25,1
CATOLE,2020-05-26,1
CATOLE,2020-05-27,1
CATOLE,2020-05-28,1
CATOLE,2020-05-29,1
CATOLE,2020-05-30,1
CATOLE,2020-05-31,1
CATOLE,2020-06-01,1
CATOLE,2020-06-02,1
CATOLE,2020-06-03,1
CATOLE,2020-06-04,1
CATOLE,2020-06-05,1
CATOLE,2020-06-06,1
CATOLE,2020-06-07,1
CATOLE,2020-06-08,1
CATOLE,2020-06-09,1
CATOLE,2020-06-10,1
CATOLE,2020-06-11,1
CATOLE,2020-06-12,1
CATOLE,2020-06-13,1
CATOLE,2020-06-14,1
CATOLE,2020-06-15,1
CATOLE,2020-06-16,1
CATOLE,2020-06-17,1
CATOLE,2020-06-18,1
CATOLE,2020-06-19,1
CATOLE,2020-06-20,1
CATOLE,2020-06-21,1
CATOLE,2020-06-22,1
CATOLE,2020-06-23,1
CATOLE,2020-06-24,1
CATOLE,2020-06-25,1
CATOLE,2020-06-26,1
CATOLE,2020-06-27,1
CATOLE,2020-06-28,1
CATOLE,2020-06-29,1
CATOLE,2020-06-30,1
CATOLE,2020-07-01,1
CATOLE,2020-07-02,1
CATOLE,2020-07-03,1
CATOLE,2020-07-04,1
CATOLE,2020-07-05,1
CATOLE,2020-07-06,1
CATOLE,2020-07-07,1
CATOLE,2020-07-08,1
CATOLE,2020-07-09,1
CATOLE,2020-07-10,1
CATOLE,2020-07-11,1
CATOLE,2020-07-12,1
CATOLE,2020-07-13,1
CATOLE,2020-07-14,1
CATOLE,2020-07-15,1
CATOLE,2020-07-16,1
CATOLE,2020-07-17,1
CATOLE,2020-07-18,1
CATOLE,2020-07-19,1
CATOLE,2020-07-20,1
CATOLE,2020-07-21,1
CATOLE,2020-07-22,1
CATOLE,2020-07-23,1
CATOLE,2020-07-24,1
CATOLE,2020-07-25,1
CATOLE,2020-07-26,1
CATOLE,2020-07-27,1
CATOLE,2020-07-28,1
CATOLE,2020-07-29,1
CATOLE,2020-07-30,1
CATOLE,2020-07-31,1
CATOLE,2020-08-01,1
CATOLE,2020-08-02,1
CATOLE,2020-08-03,1
CATOLE,2020-08-04,1
CATOLE,2020-08-05,1
CATOLE,2020-08-06,1
CATOLE,2020-08-07,1
CATOLE,2020-08-08,1
CATOLE,2020-08-09,1
CATOLE,2020-08-10,1
CATOLE,2020-08-11,1
CATOLE,2020-08-12,1
CATOLE,2020-08-13,1
CATOLE,05-04-2020,1
CATOLE,15-04-2020,1
CATOLE,17-04-2020,1
CATOLE,18-04-2020,2
CATOLE,19-04-2020,2
CATOLE,22-04-2020,2
CATOLE,24-04-2020,3
CATOLE,26-04-2020,4
CATOLE,30-04-2020,4
CATOLE,04-05-2020,5
CATOLE,05-05-2020,7
CATOLE,07-05-2020,8
CATOLE,08-05-2020,10
CATOLE,09-05-2020,10
CATOLE,10-05-2020,10
CATOLE,11-05-2020,11
CATOLE,12-05-2020,13
CATOLE,13-05-2020,14
CATOLE,14-05-2020,16
CATOLE,16-05-2020,17
CATOLE,17-05-2020,17
CATOLE,18-05-2020,19
CATOLE,19-05-2020,26
CATOLE,20-05-2020,30
CATOLE,21-05-2020,32
CATOLE,22-05-2020,41
CATOLE,23-05-2020,41
CATOLE,25-05-2020,46
CATOLE,26-05-2020,47
CATOLE,27-05-2020,55
CATOLE,28-05-2020,64
CATOLE,29-05-2020,80
CATOLE,30-05-2020,85
CATOLE,01-06-2020,92
CATOLE,02-06-2020,104
CATOLE,03-06-2020,112
CATOLE,04-06-2020,120
CATOLE,05-06-2020,138
CATOLE,06-06-2020,142
CATOLE,07-06-2020,149
CATOLE,08-06-2020,170
CATOLE,09-06-2020,196
CATOLE,10-06-2020,218
CATOLE,11-06-2020,243
CATOLE,12-06-2020,253
CATOLE,13-06-2020,257
CATOLE,14-06-2020,259
CATOLE,15-06-2020,272
CATOLE,16-06-2020,278
CATOLE,17-06-2020,293
CATOLE,18-06-2020,302
CATOLE,19-06-2020,319
CATOLE,20-06-2020,322
CATOLE,22-06-2020,343
CATOLE,23-06-2020,359
CATOLE,24-06-2020,379
CATOLE,25-06-2020,393
CATOLE,26-06-2020,397
CATOLE,27-06-2020,403
CATOLE,29-06-2020,418
CATOLE,30-06-2020,434
CATOLE,01-07-2020,461
CATOLE,02-07-2020,473
CATOLE,03-07-2020,485
CATOLE,04-07-2020,488
CATOLE,05-07-2020,491
CATOLE,06-07-2020,506
CATOLE,07-07-2020,521
CATOLE,08-07-2020,531
CATOLE,09-07-2020,556
CATOLE,10-07-2020,563
CATOLE,11-07-2020,566
CATOLE,13-07-2020,584
CATOLE,14-07-2020,590
CATOLE,15-07-2020,601
CATOLE,16-07-2020,618
CATOLE,17-07-2020,638
CATOLE,18-07-2020,639
CATOLE,19-07-2020,641
CATOLE,20-07-2020,642
CATOLE,21-07-2020,667
CATOLE,22-07-2020,678
CATOLE,23-07-2020,681
CATOLE,24-07-2020,690
CATOLE,25-07-2020,691
CATOLE,26-07-2020,691
CATOLE,27-07-2020,707
CATOLE,28-07-2020,723
CATOLE,29-07-2020,738
CATOLE,30-07-2020,743
CATOLE,31-07-2020,754
CATOLE,01-08-2020,754
CATOLE,02-08-2020,754
CATOLE,03-08-2020,764
CATOLE,04-08-2020,774
CATOLE,05-08-2020,783
CATOLE,06-08-2020,789
CATOLE,07-08-2020,798
CATOLE,08-08-2020,798
CATOLE,10-08-2020,812
CATOLE,11-08-2020,823
CATOLE,12-08-2020,824
CATOLE,13-08-2020,825
