bairro,data,casos
CENTRO,2020-04-17,1
CENTRO,2020-04-18,1
CENTRO,2020-04-19,1
CENTRO,2020-04-20,1
CENTRO,2020-04-21,1
CENTRO,2020-04-22,1
CENTRO,2020-04-23,1
CENTRO,2020-04-24,1
CENTRO,2020-04-25,1
CENTRO,2020-04-26,1
CENTRO,2020-04-27,1
CENTRO,2020-04-28,1
CENTRO,2020-04-29,1
CENTRO,2020-04-30,1
CENTRO,2020-05-01,1
CENTRO,2020-05-02,1
CENTRO,2020-05-03,1
CENTRO,2020-05-04,1
CENTRO,2020-05-05,1
CENTRO,2020-05-06,1
CENTRO,2020-05-07,1
CENTRO,2020-05-08,1
CENTRO,2020-05-09,1
CENTRO,2020-05-10,1
CENTRO,2020-05-11,1
CENTRO,2020-05-12,1
CENTRO,2020-05-13,1
CENTRO,2020-05-14,1
CENTRO,2020-05-15,1
CENTRO,2020-05-16,1
CENTRO,2020-05-17,1
CENTRO,2020-05-18,1
CENTRO,2020-05-19,1
CENTRO,2020-05-20,1
CENTRO,2020-05-21,1
CENTRO,2020-05-22,1
CENTRO,2020-05-23,1
CENTRO,2020-05-24,1
CENTRO,2020-05-25,1
CENTRO,2020-05-26,1
CENTRO,2020-05-27,1
CENTRO,2020-05-28,1
CENTRO,2020-05-29,1
CENTRO,2020-05-30,1
CENTRO,2020-05-31,1
CENTRO,2020-06-01,1
CENTRO,2020-06-02,1
CENTRO,2020-06-03,1
CENTRO,2020-06-04,1
CENTRO,2020-06-05,1
CENTRO,2020-06-06,1
CENTRO,2020-06-07,1
CENTRO,2020-06-08,1
CENTRO,2020-06-09,1
CENTRO,2020-06-10,1
CENTRO,2020-06-11,1
CENTRO,2020-06-12,1
CENTRO,2020-06-13,1
CENTRO,2020-06-14,1
CENTRO,2020-06-15,1
CENTRO,2020-06-16,1
CENTRO,2020-06-17,1
CENTRO,2020-06-18,1
CENTRO,2020-06-19,1
CENTRO,2020-06-20,1
CENTRO,2020-06-21,1
CENTRO,2020-06-22,1
CENTRO,2020-06-23,1
CENTRO,2020-06-24,1
CENTRO,2020-06-25,1
CENTRO,2020-06-26,1
CENTRO,2020-06-27,1
CENTRO,2020-06-28,1
CENTRO,2020-06-29,1
CENTRO,2020-06-30,1
CENTRO,2020-07-01,1
CENTRO,2020-07-02,1
CENTRO,2020-07-03,1
CENTRO,2020-07-04,1
CENTRO,2020-07-05,1
CENTRO,2020-07-06,1
CENTRO,2020-07-07,1
CENTRO,2020-07-08,1
CENTRO,2020-07-09,1
CENTRO,2020-07-10,1
CENTRO,2020-07-11,1
CENTRO,2020-07-12,1
CENTRO,2020-07-13,1
CENTRO,2020-07-14,1
CENTRO,2020-07-15,1
CENTRO,2020-07-16,1
CENTRO,2020-07-17,1
CENTRO,2020-07-18,1
CENTRO,2020-07-19,1
CENTRO,2020-07-20,1
CENTRO,2020-07-21,1
CENTRO,2020-07-22,1
CENTRO,2020-07-23,1
CENTRO,2020-07-24,1
CENTRO,2020-07-25,1
CENTRO,2020-07-26,1
CENTRO,2020-07-27,1
CENTRO,2020-07-28,1
CENTRO,2020-07-29,1
CENTRO,2020-07-30,1
CENTRO,2020-07-31,1
CENTRO,2020-08-01,1
CENTRO,2020-08-02,1
CENTRO,2020-08-03,1
CENTRO,2020-08-04,1
CENTRO,2020-08-05,1
CENTRO,2020-08-06,1
CENTRO,2020-08-07,1
CENTRO,2020-08-08,1
CENTRO,2020-08-09,1
CENTRO,2020-08-10,1
CENTRO,2020-08-11,1
CENTRO,2020-08-12,1
CENTRO,2020-08-13,1
CENTRO,17-04-2020,2
CENTRO,03-05-2020,2
CENTRO,04-05-2020,3
CENTRO,05-05-2020,4
CENTRO,06-05-2020,4
CENTRO,07-05-2020,6
CENTRO,08-05-2020,8
CENTRO,09-05-2020,9
CENTRO,10-05-2020,9
CENTRO,12-05-2020,10
CENTRO,13-05-2020,12
CENTRO,14-05-2020,15
CENTRO,15-05-2020,19
CENTRO,16-05-2020,20
CENTRO,17-05-2020,21
CENTRO,18-05-2020,23
CENTRO,19-05-2020,28
CENTRO,20-05-2020,36
CENTRO,21-05-2020,40
CENTRO,22-05-2020,49
CENTRO,23-05-2020,52
CENTRO,24-05-2020,53
CENTRO,25-05-2020,57
CENTRO,26-05-2020,63
CENTRO,27-05-2020,77
CENTRO,28-05-2020,90
CENTRO,29-05-2020,108
CENTRO,30-05-2020,113
CENTRO,31-05-2020,114
CENTRO,01-06-2020,120
CENTRO,02-06-2020,131
CENTRO,03-06-2020,143
CENTRO,04-06-2020,148
CENTRO,05-06-2020,164
CENTRO,06-06-2020,179
CENTRO,07-06-2020,192
CENTRO,08-06-2020,215
CENTRO,09-06-2020,236
CENTRO,10-06-2020,254
CENTRO,11-06-2020,275
CENTRO,12-06-2020,289
CENTRO,13-06-2020,299
CENTRO,14-06-2020,300
CENTRO,15-06-2020,322
CENTRO,16-06-2020,326
CENTRO,17-06-2020,339
CENTRO,18-06-2020,357
CENTRO,19-06-2020,374
CENTRO,20-06-2020,382
CENTRO,21-06-2020,383
CENTRO,22-06-2020,404
CENTRO,23-06-2020,423
CENTRO,24-06-2020,432
CENTRO,25-06-2020,448
CENTRO,26-06-2020,460
CENTRO,27-06-2020,464
CENTRO,29-06-2020,481
CENTRO,30-06-2020,502
CENTRO,01-07-2020,524
CENTRO,02-07-2020,537
CENTRO,03-07-2020,547
CENTRO,04-07-2020,549
CENTRO,05-07-2020,551
CENTRO,06-07-2020,557
CENTRO,07-07-2020,572
CENTRO,08-07-2020,586
CENTRO,09-07-2020,600
CENTRO,10-07-2020,607
CENTRO,11-07-2020,608
CENTRO,13-07-2020,619
CENTRO,14-07-2020,632
CENTRO,15-07-2020,642
CENTRO,16-07-2020,649
CENTRO,17-07-2020,662
CENTRO,19-07-2020,663
CENTRO,20-07-2020,668
CENTRO,21-07-2020,690
CENTRO,22-07-2020,707
CENTRO,23-07-2020,710
CENTRO,24-07-2020,722
CENTRO,25-07-2020,727
CENTRO,26-07-2020,728
CENTRO,27-07-2020,738
CENTRO,28-07-2020,746
CENTRO,29-07-2020,757
CENTRO,30-07-2020,771
CENTRO,31-07-2020,778
CENTRO,03-08-2020,787
CENTRO,04-08-2020,800
CENTRO,05-08-2020,812
CENTRO,06-08-2020,820
CENTRO,07-08-2020,831
CENTRO,08-08-2020,832
CENTRO,10-08-2020,855
CENTRO,11-08-2020,867
CENTRO,12-08-2020,885
CENTRO,13-08-2020,888
