bairro,data,casos
CONCEICAO,2020-07-05,1
CONCEICAO,2020-07-06,1
CONCEICAO,2020-07-07,1
CONCEICAO,2020-07-08,1
CONCEICAO,2020-07-09,1
CONCEICAO,2020-07-10,1
CONCEICAO,2020-07-11,1
CONCEICAO,2020-07-12,1
CONCEICAO,2020-07-13,1
CONCEICAO,2020-07-14,1
CONCEICAO,2020-07-15,1
CONCEICAO,2020-07-16,1
CONCEICAO,2020-07-17,1
CONCEICAO,2020-07-18,1
CONCEICAO,2020-07-19,1
CONCEICAO,2020-07-20,1
CONCEICAO,2020-07-21,1
CONCEICAO,2020-07-22,1
CONCEICAO,2020-07-23,1
CONCEICAO,2020-07-24,1
CONCEICAO,2020-07-25,1
CONCEICAO,2020-07-26,1
CONCEICAO,2020-07-27,1
CONCEICAO,2020-07-28,1
CONCEICAO,2020-07-29,1
CONCEICAO,2020-07-30,1
CONCEICAO,2020-07-31,1
CONCEICAO,2020-08-01,1
CONCEICAO,2020-08-02,1
CONCEICAO,2020-08-03,1
CONCEICAO,2020-08-04,1
CONCEICAO,2020-08-05,1
CONCEICAO,2020-08-06,1
CONCEICAO,2020-08-07,1
CONCEICAO,2020-08-08,1
CONCEICAO,2020-08-09,1
CONCEICAO,2020-08-10,1
CONCEICAO,2020-08-11,1
CONCEICAO,2020-08-12,1
CONCEICAO,2020-08-13,1
CONCEICAO,07-05-2020,1
CONCEICAO,12-05-2020,3
CONCEICAO,13-05-2020,3
CONCEICAO,14-05-2020,3
CONCEICAO,16-05-2020,3
CONCEICAO,18-05-2020,3
CONCEICAO,19-05-2020,3
CONCEICAO,20-05-2020,4
CONCEICAO,22-05-2020,5
CONCEICAO,28-05-2020,6
CONCEICAO,29-05-2020,7
CONCEICAO,30-05-2020,8
CONCEICAO,31-05-2020,8
CONCEICAO,01-06-2020,8
CONCEICAO,02-06-2020,10
CONCEICAO,03-06-2020,10
CONCEICAO,04-06-2020,10
CONCEICAO,05-06-2020,13
CONCEICAO,06-06-2020,13
CONCEICAO,07-06-2020,14
CONCEICAO,08-06-2020,15
CONCEICAO,09-06-2020,15
CONCEICAO,10-06-2020,15
CONCEICAO,11-06-2020,15
CONCEICAO,12-06-2020,16
CONCEICAO,13-06-2020,18
CONCEICAO,15-06-2020,20
CONCEICAO,16-06-2020,20
CONCEICAO,17-06-2020,22
CONCEICAO,18-06-2020,23
CONCEICAO,19-06-2020,23
CONCEICAO,21-06-2020,23
CONCEICAO,22-06-2020,29
CONCEICAO,24-06-2020,30
CONCEICAO,25-06-2020,30
CONCEICAO,26-06-2020,32
CONCEICAO,29-06-2020,34
CONCEICAO,01-07-2020,34
CONCEICAO,02-07-2020,36
CONCEICAO,03-07-2020,36
CONCEICAO,04-07-2020,36
CONCEICAO,05-07-2020,37
CONCEICAO,06-07-2020,37
CONCEICAO,08-07-2020,37
CONCEICAO,09-07-2020,37
CONCEICAO,12-07-2020,37
CONCEICAO,13-07-2020,38
CONCEICAO,14-07-2020,38
CONCEICAO,17-07-2020,38
CONCEICAO,21-07-2020,41
CONCEICAO,22-07-2020,44
CONCEICAO,24-07-2020,45
CONCEICAO,28-07-2020,46
CONCEICAO,29-07-2020,46
CONCEICAO,31-07-2020,46
CONCEICAO,05-08-2020,46
CONCEICAO,06-08-2020,47
CONCEICAO,10-08-2020,48
CONCEICAO,13-08-2020,48
