bairro,data,casos
CRUZEIRO,2020-04-20,1
CRUZEIRO,2020-04-21,1
CRUZEIRO,2020-04-22,1
CRUZEIRO,2020-04-23,1
CRUZEIRO,2020-04-24,1
CRUZEIRO,2020-04-25,1
CRUZEIRO,2020-04-26,1
CRUZEIRO,2020-04-27,1
CRUZEIRO,2020-04-28,1
CRUZEIRO,2020-04-29,1
CRUZEIRO,2020-04-30,1
CRUZEIRO,2020-05-01,1
CRUZEIRO,2020-05-02,1
CRUZEIRO,2020-05-03,1
CRUZEIRO,2020-05-04,1
CRUZEIRO,2020-05-05,1
CRUZEIRO,2020-05-06,1
CRUZEIRO,2020-05-07,1
CRUZEIRO,2020-05-08,1
CRUZEIRO,2020-05-09,1
CRUZEIRO,2020-05-10,1
CRUZEIRO,2020-05-11,1
CRUZEIRO,2020-05-12,1
CRUZEIRO,2020-05-13,1
CRUZEIRO,2020-05-14,1
CRUZEIRO,2020-05-15,1
CRUZEIRO,2020-05-16,1
CRUZEIRO,2020-05-17,1
CRUZEIRO,2020-05-18,1
CRUZEIRO,2020-05-19,1
CRUZEIRO,2020-05-20,1
CRUZEIRO,2020-05-21,1
CRUZEIRO,2020-05-22,1
CRUZEIRO,2020-05-23,1
CRUZEIRO,2020-05-24,1
CRUZEIRO,2020-05-25,1
CRUZEIRO,2020-05-26,1
CRUZEIRO,2020-05-27,1
CRUZEIRO,2020-05-28,1
CRUZEIRO,2020-05-29,1
CRUZEIRO,2020-05-30,1
CRUZEIRO,2020-05-31,1
CRUZEIRO,2020-06-01,1
CRUZEIRO,2020-06-02,1
CRUZEIRO,2020-06-03,1
CRUZEIRO,2020-06-04,1
CRUZEIRO,2020-06-05,1
CRUZEIRO,2020-06-06,1
CRUZEIRO,2020-06-07,1
CRUZEIRO,2020-06-08,1
CRUZEIRO,2020-06-09,1
CRUZEIRO,2020-06-10,1
CRUZEIRO,2020-06-11,1
CRUZEIRO,2020-06-12,1
CRUZEIRO,2020-06-13,1
CRUZEIRO,2020-06-14,1
CRUZEIRO,2020-06-15,1
CRUZEIRO,2020-06-16,1
CRUZEIRO,2020-06-17,1
CRUZEIRO,2020-06-18,1
CRUZEIRO,2020-06-19,1
CRUZEIRO,2020-06-20,1
CRUZEIRO,2020-06-21,1
CRUZEIRO,2020-06-22,1
CRUZEIRO,2020-06-23,1
CRUZEIRO,2020-06-24,1
CRUZEIRO,2020-06-25,1
CRUZEIRO,2020-06-26,1
CRUZEIRO,2020-06-27,1
CRUZEIRO,2020-06-28,1
CRUZEIRO,2020-06-29,1
CRUZEIRO,2020-06-30,1
CRUZEIRO,2020-07-01,1
CRUZEIRO,2020-07-02,1
CRUZEIRO,2020-07-03,1
CRUZEIRO,2020-07-04,1
CRUZEIRO,2020-07-05,1
CRUZEIRO,2020-07-06,1
CRUZEIRO,2020-07-07,1
CRUZEIRO,2020-07-08,1
CRUZEIRO,2020-07-09,1
CRUZEIRO,2020-07-10,1
CRUZEIRO,2020-07-11,1
CRUZEIRO,2020-07-12,1
CRUZEIRO,2020-07-13,1
CRUZEIRO,2020-07-14,1
CRUZEIRO,2020-07-15,1
CRUZEIRO,2020-07-16,1
CRUZEIRO,2020-07-17,1
CRUZEIRO,2020-07-18,1
CRUZEIRO,2020-07-19,1
CRUZEIRO,2020-07-20,1
CRUZEIRO,2020-07-21,1
CRUZEIRO,2020-07-22,1
CRUZEIRO,2020-07-23,1
CRUZEIRO,2020-07-24,1
CRUZEIRO,2020-07-25,1
CRUZEIRO,2020-07-26,1
CRUZEIRO,2020-07-27,1
CRUZEIRO,2020-07-28,1
CRUZEIRO,2020-07-29,1
CRUZEIRO,2020-07-30,1
CRUZEIRO,2020-07-31,1
CRUZEIRO,2020-08-01,1
CRUZEIRO,2020-08-02,1
CRUZEIRO,2020-08-03,1
CRUZEIRO,2020-08-04,1
CRUZEIRO,2020-08-05,1
CRUZEIRO,2020-08-06,1
CRUZEIRO,2020-08-07,1
CRUZEIRO,2020-08-08,1
CRUZEIRO,2020-08-09,1
CRUZEIRO,2020-08-10,1
CRUZEIRO,2020-08-11,1
CRUZEIRO,2020-08-12,1
CRUZEIRO,2020-08-13,1
CRUZEIRO,20-04-2020,1
CRUZEIRO,25-04-2020,1
CRUZEIRO,30-04-2020,1
CRUZEIRO,06-05-2020,1
CRUZEIRO,07-05-2020,1
CRUZEIRO,10-05-2020,1
CRUZEIRO,14-05-2020,2
CRUZEIRO,15-05-2020,3
CRUZEIRO,16-05-2020,3
CRUZEIRO,18-05-2020,4
CRUZEIRO,19-05-2020,7
CRUZEIRO,20-05-2020,11
CRUZEIRO,21-05-2020,15
CRUZEIRO,22-05-2020,18
CRUZEIRO,23-05-2020,21
CRUZEIRO,25-05-2020,24
CRUZEIRO,26-05-2020,25
CRUZEIRO,27-05-2020,27
CRUZEIRO,28-05-2020,32
CRUZEIRO,29-05-2020,42
CRUZEIRO,30-05-2020,45
CRUZEIRO,31-05-2020,45
CRUZEIRO,01-06-2020,57
CRUZEIRO,02-06-2020,63
CRUZEIRO,03-06-2020,68
CRUZEIRO,05-06-2020,74
CRUZEIRO,06-06-2020,79
CRUZEIRO,07-06-2020,86
CRUZEIRO,08-06-2020,100
CRUZEIRO,09-06-2020,102
CRUZEIRO,10-06-2020,109
CRUZEIRO,11-06-2020,114
CRUZEIRO,12-06-2020,116
CRUZEIRO,13-06-2020,119
CRUZEIRO,14-06-2020,122
CRUZEIRO,15-06-2020,130
CRUZEIRO,16-06-2020,134
CRUZEIRO,17-06-2020,144
CRUZEIRO,18-06-2020,156
CRUZEIRO,19-06-2020,159
CRUZEIRO,20-06-2020,160
CRUZEIRO,22-06-2020,163
CRUZEIRO,23-06-2020,174
CRUZEIRO,24-06-2020,183
CRUZEIRO,25-06-2020,187
CRUZEIRO,26-06-2020,192
CRUZEIRO,27-06-2020,192
CRUZEIRO,28-06-2020,192
CRUZEIRO,29-06-2020,195
CRUZEIRO,30-06-2020,203
CRUZEIRO,01-07-2020,216
CRUZEIRO,02-07-2020,222
CRUZEIRO,03-07-2020,232
CRUZEIRO,05-07-2020,236
CRUZEIRO,06-07-2020,246
CRUZEIRO,07-07-2020,257
CRUZEIRO,08-07-2020,263
CRUZEIRO,09-07-2020,269
CRUZEIRO,10-07-2020,270
CRUZEIRO,13-07-2020,275
CRUZEIRO,14-07-2020,278
CRUZEIRO,15-07-2020,283
CRUZEIRO,16-07-2020,289
CRUZEIRO,17-07-2020,295
CRUZEIRO,18-07-2020,297
CRUZEIRO,19-07-2020,297
CRUZEIRO,20-07-2020,297
CRUZEIRO,21-07-2020,313
CRUZEIRO,22-07-2020,325
CRUZEIRO,23-07-2020,325
CRUZEIRO,24-07-2020,328
CRUZEIRO,27-07-2020,340
CRUZEIRO,28-07-2020,342
CRUZEIRO,29-07-2020,346
CRUZEIRO,30-07-2020,350
CRUZEIRO,31-07-2020,360
CRUZEIRO,03-08-2020,370
CRUZEIRO,04-08-2020,372
CRUZEIRO,05-08-2020,375
CRUZEIRO,06-08-2020,376
CRUZEIRO,07-08-2020,378
CRUZEIRO,10-08-2020,384
CRUZEIRO,11-08-2020,389
CRUZEIRO,12-08-2020,392
CRUZEIRO,13-08-2020,392
