bairro,data,casos
CUITES,2020-05-19,1
CUITES,2020-05-20,1
CUITES,2020-05-21,1
CUITES,2020-05-22,1
CUITES,2020-05-23,1
CUITES,2020-05-24,1
CUITES,2020-05-25,1
CUITES,2020-05-26,1
CUITES,2020-05-27,1
CUITES,2020-05-28,1
CUITES,2020-05-29,1
CUITES,2020-05-30,1
CUITES,2020-05-31,1
CUITES,2020-06-01,1
CUITES,2020-06-02,1
CUITES,2020-06-03,1
CUITES,2020-06-04,1
CUITES,2020-06-05,1
CUITES,2020-06-06,1
CUITES,2020-06-07,1
CUITES,2020-06-08,1
CUITES,2020-06-09,1
CUITES,2020-06-10,1
CUITES,2020-06-11,1
CUITES,2020-06-12,1
CUITES,2020-06-13,1
CUITES,2020-06-14,1
CUITES,2020-06-15,1
CUITES,2020-06-16,1
CUITES,2020-06-17,1
CUITES,2020-06-18,1
CUITES,2020-06-19,1
CUITES,2020-06-20,1
CUITES,2020-06-21,1
CUITES,2020-06-22,1
CUITES,2020-06-23,1
CUITES,2020-06-24,1
CUITES,2020-06-25,1
CUITES,2020-06-26,1
CUITES,2020-06-27,1
CUITES,2020-06-28,1
CUITES,2020-06-29,1
CUITES,2020-06-30,1
CUITES,2020-07-01,1
CUITES,2020-07-02,1
CUITES,2020-07-03,1
CUITES,2020-07-04,1
CUITES,2020-07-05,1
CUITES,2020-07-06,1
CUITES,2020-07-07,1
CUITES,2020-07-08,1
CUITES,2020-07-09,1
CUITES,2020-07-10,1
CUITES,2020-07-11,1
CUITES,2020-07-12,1
CUITES,2020-07-13,1
CUITES,2020-07-14,1
CUITES,2020-07-15,1
CUITES,2020-07-16,1
CUITES,2020-07-17,1
CUITES,2020-07-18,1
CUITES,2020-07-19,1
CUITES,2020-07-20,1
CUITES,2020-07-21,1
CUITES,2020-07-22,1
CUITES,2020-07-23,1
CUITES,2020-07-24,1
CUITES,2020-07-25,1
CUITES,2020-07-26,1
CUITES,2020-07-27,1
CUITES,2020-07-28,1
CUITES,2020-07-29,1
CUITES,2020-07-30,1
CUITES,2020-07-31,1
CUITES,2020-08-01,1
CUITES,2020-08-02,1
CUITES,2020-08-03,1
CUITES,2020-08-04,1
CUITES,2020-08-05,1
CUITES,2020-08-06,1
CUITES,2020-08-07,1
CUITES,2020-08-08,1
CUITES,2020-08-09,1
CUITES,2020-08-10,1
CUITES,2020-08-11,1
CUITES,2020-08-12,1
CUITES,2020-08-13,1
CUITES,2020-08-14,1
CUITES,2020-08-15,1
CUITES,2020-08-16,1
CUITES,2020-08-17,1
CUITES,2020-08-18,1
CUITES,2020-08-19,1
CUITES,2020-08-20,1
CUITES,2020-08-21,1
CUITES,2020-08-22,1
CUITES,2020-08-23,1
CUITES,2020-08-24,1
CUITES,2020-08-25,1
CUITES,2020-08-26,1
CUITES,2020-08-27,1
CUITES,2020-08-28,1
CUITES,2020-08-29,1
CUITES,2020-08-30,1
CUITES,2020-08-31,1
CUITES,2020-09-01,1
CUITES,2020-09-02,1
CUITES,2020-09-03,1
CUITES,2020-09-04,1
CUITES,2020-09-05,1
CUITES,2020-09-06,1
CUITES,2020-09-07,1
CUITES,2020-09-08,1
CUITES,2020-09-09,1
CUITES,2020-09-10,1
CUITES,2020-09-11,1
CUITES,2020-09-12,1
CUITES,2020-09-13,1
CUITES,2020-09-14,1
CUITES,2020-09-15,1
CUITES,2020-09-16,1
CUITES,2020-09-17,1
CUITES,2020-09-18,1
CUITES,2020-09-19,1
CUITES,2020-09-20,1
CUITES,2020-09-21,1
CUITES,2020-09-22,1
CUITES,2020-09-23,1
CUITES,2020-09-24,1
CUITES,2020-09-25,1
CUITES,2020-09-26,1
CUITES,2020-09-27,1
CUITES,2020-09-28,1
CUITES,2020-09-29,1
CUITES,2020-09-30,1
CUITES,2020-10-01,1
CUITES,2020-10-02,1
CUITES,2020-10-03,1
CUITES,2020-10-04,1
CUITES,2020-10-05,1
CUITES,2020-10-06,1
CUITES,2020-10-07,1
CUITES,2020-10-08,1
CUITES,19-05-2020,2
CUITES,22-05-2020,2
CUITES,02-06-2020,2
CUITES,03-06-2020,2
CUITES,06-06-2020,2
CUITES,07-06-2020,2
CUITES,08-06-2020,2
CUITES,09-06-2020,4
CUITES,10-06-2020,6
CUITES,11-06-2020,10
CUITES,12-06-2020,10
CUITES,13-06-2020,10
CUITES,15-06-2020,11
CUITES,16-06-2020,11
CUITES,17-06-2020,12
CUITES,19-06-2020,12
CUITES,22-06-2020,17
CUITES,23-06-2020,21
CUITES,24-06-2020,25
CUITES,26-06-2020,26
CUITES,29-06-2020,26
CUITES,30-06-2020,27
CUITES,01-07-2020,29
CUITES,03-07-2020,29
CUITES,06-07-2020,29
CUITES,07-07-2020,29
CUITES,08-07-2020,29
CUITES,09-07-2020,29
CUITES,10-07-2020,30
CUITES,13-07-2020,31
CUITES,14-07-2020,40
CUITES,20-07-2020,40
CUITES,22-07-2020,43
CUITES,23-07-2020,45
CUITES,24-07-2020,45
CUITES,26-07-2020,46
CUITES,27-07-2020,51
CUITES,29-07-2020,51
CUITES,30-07-2020,51
CUITES,03-08-2020,51
CUITES,05-08-2020,52
CUITES,10-08-2020,53
