bairro,data,casos
DINAMERICA,2020-04-29,1
DINAMERICA,2020-04-30,1
DINAMERICA,2020-05-01,1
DINAMERICA,2020-05-02,1
DINAMERICA,2020-05-03,1
DINAMERICA,2020-05-04,1
DINAMERICA,2020-05-05,1
DINAMERICA,2020-05-06,1
DINAMERICA,2020-05-07,1
DINAMERICA,2020-05-08,1
DINAMERICA,2020-05-09,1
DINAMERICA,2020-05-10,1
DINAMERICA,2020-05-11,1
DINAMERICA,2020-05-12,1
DINAMERICA,2020-05-13,1
DINAMERICA,2020-05-14,1
DINAMERICA,2020-05-15,1
DINAMERICA,2020-05-16,1
DINAMERICA,2020-05-17,1
DINAMERICA,2020-05-18,1
DINAMERICA,2020-05-19,1
DINAMERICA,2020-05-20,1
DINAMERICA,2020-05-21,1
DINAMERICA,2020-05-22,1
DINAMERICA,2020-05-23,1
DINAMERICA,2020-05-24,1
DINAMERICA,2020-05-25,1
DINAMERICA,2020-05-26,1
DINAMERICA,2020-05-27,1
DINAMERICA,2020-05-28,1
DINAMERICA,2020-05-29,1
DINAMERICA,2020-05-30,1
DINAMERICA,2020-05-31,1
DINAMERICA,2020-06-01,1
DINAMERICA,2020-06-02,1
DINAMERICA,2020-06-03,1
DINAMERICA,2020-06-04,1
DINAMERICA,2020-06-05,1
DINAMERICA,2020-06-06,1
DINAMERICA,2020-06-07,1
DINAMERICA,2020-06-08,1
DINAMERICA,2020-06-09,1
DINAMERICA,2020-06-10,1
DINAMERICA,2020-06-11,1
DINAMERICA,2020-06-12,1
DINAMERICA,2020-06-13,1
DINAMERICA,2020-06-14,1
DINAMERICA,2020-06-15,1
DINAMERICA,2020-06-16,1
DINAMERICA,2020-06-17,1
DINAMERICA,2020-06-18,1
DINAMERICA,2020-06-19,1
DINAMERICA,2020-06-20,1
DINAMERICA,2020-06-21,1
DINAMERICA,2020-06-22,1
DINAMERICA,2020-06-23,1
DINAMERICA,2020-06-24,1
DINAMERICA,2020-06-25,1
DINAMERICA,2020-06-26,1
DINAMERICA,2020-06-27,1
DINAMERICA,2020-06-28,1
DINAMERICA,2020-06-29,1
DINAMERICA,2020-06-30,1
DINAMERICA,2020-07-01,1
DINAMERICA,2020-07-02,1
DINAMERICA,2020-07-03,1
DINAMERICA,2020-07-04,1
DINAMERICA,2020-07-05,1
DINAMERICA,2020-07-06,1
DINAMERICA,2020-07-07,1
DINAMERICA,2020-07-08,1
DINAMERICA,29-04-2020,1
DINAMERICA,30-04-2020,2
DINAMERICA,04-05-2020,2
DINAMERICA,06-05-2020,2
DINAMERICA,15-05-2020,3
DINAMERICA,19-05-2020,5
DINAMERICA,20-05-2020,6
DINAMERICA,22-05-2020,7
DINAMERICA,25-05-2020,10
DINAMERICA,27-05-2020,10
DINAMERICA,28-05-2020,11
DINAMERICA,29-05-2020,14
DINAMERICA,02-06-2020,15
DINAMERICA,03-06-2020,16
DINAMERICA,05-06-2020,18
DINAMERICA,06-06-2020,19
DINAMERICA,08-06-2020,25
DINAMERICA,09-06-2020,30
DINAMERICA,10-06-2020,33
DINAMERICA,11-06-2020,39
DINAMERICA,15-06-2020,42
DINAMERICA,16-06-2020,44
DINAMERICA,17-06-2020,44
DINAMERICA,18-06-2020,51
DINAMERICA,19-06-2020,55
DINAMERICA,22-06-2020,58
DINAMERICA,23-06-2020,60
DINAMERICA,25-06-2020,60
DINAMERICA,26-06-2020,60
DINAMERICA,27-06-2020,60
DINAMERICA,29-06-2020,63
DINAMERICA,30-06-2020,64
DINAMERICA,01-07-2020,64
DINAMERICA,06-07-2020,65
DINAMERICA,07-07-2020,65
DINAMERICA,08-07-2020,65
DINAMERICA,10-07-2020,71
DINAMERICA,11-07-2020,71
DINAMERICA,13-07-2020,73
DINAMERICA,14-07-2020,74
DINAMERICA,15-07-2020,74
DINAMERICA,16-07-2020,74
DINAMERICA,17-07-2020,75
DINAMERICA,20-07-2020,75
DINAMERICA,21-07-2020,79
DINAMERICA,23-07-2020,79
DINAMERICA,26-07-2020,79
DINAMERICA,28-07-2020,85
DINAMERICA,29-07-2020,85
DINAMERICA,31-07-2020,86
DINAMERICA,04-08-2020,87
DINAMERICA,05-08-2020,87
DINAMERICA,06-08-2020,87
DINAMERICA,07-08-2020,91
