bairro,data,casos
ESTACAO VELHA,2020-05-05,1
ESTACAO VELHA,2020-05-06,1
ESTACAO VELHA,2020-05-07,1
ESTACAO VELHA,2020-05-08,1
ESTACAO VELHA,2020-05-09,1
ESTACAO VELHA,2020-05-10,1
ESTACAO VELHA,2020-05-11,1
ESTACAO VELHA,2020-05-12,1
ESTACAO VELHA,2020-05-13,1
ESTACAO VELHA,2020-05-14,1
ESTACAO VELHA,2020-05-15,1
ESTACAO VELHA,2020-05-16,1
ESTACAO VELHA,2020-05-17,1
ESTACAO VELHA,2020-05-18,1
ESTACAO VELHA,2020-05-19,1
ESTACAO VELHA,2020-05-20,1
ESTACAO VELHA,2020-05-21,1
ESTACAO VELHA,2020-05-22,1
ESTACAO VELHA,2020-05-23,1
ESTACAO VELHA,2020-05-24,1
ESTACAO VELHA,2020-05-25,1
ESTACAO VELHA,2020-05-26,1
ESTACAO VELHA,2020-05-27,1
ESTACAO VELHA,2020-05-28,1
ESTACAO VELHA,2020-05-29,1
ESTACAO VELHA,2020-05-30,1
ESTACAO VELHA,2020-05-31,1
ESTACAO VELHA,2020-06-01,1
ESTACAO VELHA,2020-06-02,1
ESTACAO VELHA,2020-06-03,1
ESTACAO VELHA,2020-06-04,1
ESTACAO VELHA,2020-06-05,1
ESTACAO VELHA,2020-06-06,1
ESTACAO VELHA,2020-06-07,1
ESTACAO VELHA,2020-06-08,1
ESTACAO VELHA,2020-06-09,1
ESTACAO VELHA,2020-06-10,1
ESTACAO VELHA,2020-06-11,1
ESTACAO VELHA,2020-06-12,1
ESTACAO VELHA,2020-06-13,1
ESTACAO VELHA,2020-06-14,1
ESTACAO VELHA,2020-06-15,1
ESTACAO VELHA,2020-06-16,1
ESTACAO VELHA,2020-06-17,1
ESTACAO VELHA,2020-06-18,1
ESTACAO VELHA,2020-06-19,1
ESTACAO VELHA,2020-06-20,1
ESTACAO VELHA,2020-06-21,1
ESTACAO VELHA,2020-06-22,1
ESTACAO VELHA,2020-06-23,1
ESTACAO VELHA,2020-06-24,1
ESTACAO VELHA,2020-06-25,1
ESTACAO VELHA,2020-06-26,1
ESTACAO VELHA,2020-06-27,1
ESTACAO VELHA,2020-06-28,1
ESTACAO VELHA,2020-06-29,1
ESTACAO VELHA,2020-06-30,1
ESTACAO VELHA,2020-07-01,1
ESTACAO VELHA,2020-07-02,1
ESTACAO VELHA,2020-07-03,1
ESTACAO VELHA,2020-07-04,1
ESTACAO VELHA,2020-07-05,1
ESTACAO VELHA,2020-07-06,1
ESTACAO VELHA,2020-07-07,1
ESTACAO VELHA,2020-07-08,1
ESTACAO VELHA,05-05-2020,1
ESTACAO VELHA,21-05-2020,1
ESTACAO VELHA,22-05-2020,1
ESTACAO VELHA,25-05-2020,1
ESTACAO VELHA,27-05-2020,1
ESTACAO VELHA,29-05-2020,1
ESTACAO VELHA,31-05-2020,1
ESTACAO VELHA,01-06-2020,1
ESTACAO VELHA,02-06-2020,1
ESTACAO VELHA,05-06-2020,1
ESTACAO VELHA,07-06-2020,1
ESTACAO VELHA,08-06-2020,1
ESTACAO VELHA,09-06-2020,1
ESTACAO VELHA,10-06-2020,2
ESTACAO VELHA,11-06-2020,7
ESTACAO VELHA,12-06-2020,7
ESTACAO VELHA,16-06-2020,8
ESTACAO VELHA,17-06-2020,8
ESTACAO VELHA,18-06-2020,8
ESTACAO VELHA,19-06-2020,8
ESTACAO VELHA,20-06-2020,8
ESTACAO VELHA,25-06-2020,8
ESTACAO VELHA,26-06-2020,8
ESTACAO VELHA,29-06-2020,9
ESTACAO VELHA,01-07-2020,10
ESTACAO VELHA,02-07-2020,11
ESTACAO VELHA,03-07-2020,12
ESTACAO VELHA,06-07-2020,12
ESTACAO VELHA,07-07-2020,15
ESTACAO VELHA,08-07-2020,16
ESTACAO VELHA,15-07-2020,16
ESTACAO VELHA,16-07-2020,16
ESTACAO VELHA,17-07-2020,20
ESTACAO VELHA,21-07-2020,21
ESTACAO VELHA,22-07-2020,21
ESTACAO VELHA,23-07-2020,21
ESTACAO VELHA,27-07-2020,22
ESTACAO VELHA,28-07-2020,23
ESTACAO VELHA,03-08-2020,23
ESTACAO VELHA,04-08-2020,23
ESTACAO VELHA,05-08-2020,23
ESTACAO VELHA,06-08-2020,23
ESTACAO VELHA,07-08-2020,23
