bairro,data,casos
JARDIM CONTINENTAL,2020-05-20,1
JARDIM CONTINENTAL,2020-05-21,1
JARDIM CONTINENTAL,2020-05-22,1
JARDIM CONTINENTAL,2020-05-23,1
JARDIM CONTINENTAL,2020-05-24,1
JARDIM CONTINENTAL,2020-05-25,1
JARDIM CONTINENTAL,2020-05-26,1
JARDIM CONTINENTAL,2020-05-27,1
JARDIM CONTINENTAL,2020-05-28,1
JARDIM CONTINENTAL,2020-05-29,1
JARDIM CONTINENTAL,2020-05-30,1
JARDIM CONTINENTAL,2020-05-31,1
JARDIM CONTINENTAL,2020-06-01,1
JARDIM CONTINENTAL,2020-06-02,1
JARDIM CONTINENTAL,2020-06-03,1
JARDIM CONTINENTAL,2020-06-04,1
JARDIM CONTINENTAL,2020-06-05,1
JARDIM CONTINENTAL,2020-06-06,1
JARDIM CONTINENTAL,2020-06-07,1
JARDIM CONTINENTAL,2020-06-08,1
JARDIM CONTINENTAL,2020-06-09,1
JARDIM CONTINENTAL,2020-06-10,1
JARDIM CONTINENTAL,2020-06-11,1
JARDIM CONTINENTAL,2020-06-12,1
JARDIM CONTINENTAL,2020-06-13,1
JARDIM CONTINENTAL,2020-06-14,1
JARDIM CONTINENTAL,2020-06-15,1
JARDIM CONTINENTAL,2020-06-16,1
JARDIM CONTINENTAL,2020-06-17,1
JARDIM CONTINENTAL,2020-06-18,1
JARDIM CONTINENTAL,2020-06-19,1
JARDIM CONTINENTAL,2020-06-20,1
JARDIM CONTINENTAL,2020-06-21,1
JARDIM CONTINENTAL,2020-06-22,1
JARDIM CONTINENTAL,2020-06-23,1
JARDIM CONTINENTAL,2020-06-24,1
JARDIM CONTINENTAL,2020-06-25,1
JARDIM CONTINENTAL,2020-06-26,1
JARDIM CONTINENTAL,2020-06-27,1
JARDIM CONTINENTAL,2020-06-28,1
JARDIM CONTINENTAL,2020-06-29,1
JARDIM CONTINENTAL,2020-06-30,1
JARDIM CONTINENTAL,2020-07-01,1
JARDIM CONTINENTAL,2020-07-02,1
JARDIM CONTINENTAL,2020-07-03,1
JARDIM CONTINENTAL,2020-07-04,1
JARDIM CONTINENTAL,2020-07-05,1
JARDIM CONTINENTAL,2020-07-06,1
JARDIM CONTINENTAL,2020-07-07,1
JARDIM CONTINENTAL,2020-07-08,1
JARDIM CONTINENTAL,2020-07-09,1
JARDIM CONTINENTAL,2020-07-10,1
JARDIM CONTINENTAL,2020-07-11,1
JARDIM CONTINENTAL,2020-07-12,1
JARDIM CONTINENTAL,2020-07-13,1
JARDIM CONTINENTAL,2020-07-14,1
JARDIM CONTINENTAL,2020-07-15,1
JARDIM CONTINENTAL,2020-07-16,1
JARDIM CONTINENTAL,2020-07-17,1
JARDIM CONTINENTAL,2020-07-18,1
JARDIM CONTINENTAL,2020-07-19,1
JARDIM CONTINENTAL,2020-07-20,1
JARDIM CONTINENTAL,2020-07-21,1
JARDIM CONTINENTAL,2020-07-22,1
JARDIM CONTINENTAL,2020-07-23,1
JARDIM CONTINENTAL,2020-07-24,1
JARDIM CONTINENTAL,2020-07-25,1
JARDIM CONTINENTAL,2020-07-26,1
JARDIM CONTINENTAL,2020-07-27,1
JARDIM CONTINENTAL,2020-07-28,1
JARDIM CONTINENTAL,2020-07-29,1
JARDIM CONTINENTAL,20-05-2020,1
JARDIM CONTINENTAL,22-05-2020,1
JARDIM CONTINENTAL,23-05-2020,1
JARDIM CONTINENTAL,29-05-2020,4
JARDIM CONTINENTAL,30-05-2020,5
JARDIM CONTINENTAL,01-06-2020,5
JARDIM CONTINENTAL,02-06-2020,5
JARDIM CONTINENTAL,03-06-2020,5
JARDIM CONTINENTAL,05-06-2020,7
JARDIM CONTINENTAL,07-06-2020,8
JARDIM CONTINENTAL,08-06-2020,9
JARDIM CONTINENTAL,11-06-2020,12
JARDIM CONTINENTAL,15-06-2020,14
JARDIM CONTINENTAL,17-06-2020,15
JARDIM CONTINENTAL,25-06-2020,16
JARDIM CONTINENTAL,29-06-2020,18
JARDIM CONTINENTAL,01-07-2020,18
JARDIM CONTINENTAL,02-07-2020,18
JARDIM CONTINENTAL,05-07-2020,18
JARDIM CONTINENTAL,06-07-2020,19
JARDIM CONTINENTAL,07-07-2020,19
JARDIM CONTINENTAL,08-07-2020,20
JARDIM CONTINENTAL,09-07-2020,20
JARDIM CONTINENTAL,20-07-2020,20
JARDIM CONTINENTAL,24-07-2020,20
JARDIM CONTINENTAL,28-07-2020,20
JARDIM CONTINENTAL,29-07-2020,21
