bairro,data,casos
JOSE PINHEIRO,12-04-2020,1
JOSE PINHEIRO,14-04-2020,1
JOSE PINHEIRO,29-04-2020,1
JOSE PINHEIRO,04-05-2020,1
JOSE PINHEIRO,05-05-2020,1
JOSE PINHEIRO,06-05-2020,1
JOSE PINHEIRO,08-05-2020,1
JOSE PINHEIRO,10-05-2020,1
JOSE PINHEIRO,12-05-2020,1
JOSE PINHEIRO,13-05-2020,3
JOSE PINHEIRO,14-05-2020,7
JOSE PINHEIRO,15-05-2020,7
JOSE PINHEIRO,16-05-2020,8
JOSE PINHEIRO,17-05-2020,8
JOSE PINHEIRO,18-05-2020,12
JOSE PINHEIRO,19-05-2020,16
JOSE PINHEIRO,20-05-2020,23
JOSE PINHEIRO,21-05-2020,26
JOSE PINHEIRO,22-05-2020,32
JOSE PINHEIRO,23-05-2020,40
JOSE PINHEIRO,25-05-2020,48
JOSE PINHEIRO,26-05-2020,53
JOSE PINHEIRO,27-05-2020,61
JOSE PINHEIRO,28-05-2020,64
JOSE PINHEIRO,29-05-2020,71
JOSE PINHEIRO,30-05-2020,78
JOSE PINHEIRO,31-05-2020,80
JOSE PINHEIRO,01-06-2020,85
JOSE PINHEIRO,02-06-2020,87
JOSE PINHEIRO,03-06-2020,106
JOSE PINHEIRO,04-06-2020,112
JOSE PINHEIRO,05-06-2020,115
JOSE PINHEIRO,06-06-2020,118
JOSE PINHEIRO,07-06-2020,123
JOSE PINHEIRO,08-06-2020,138
JOSE PINHEIRO,09-06-2020,142
JOSE PINHEIRO,10-06-2020,161
JOSE PINHEIRO,11-06-2020,175
JOSE PINHEIRO,12-06-2020,184
JOSE PINHEIRO,13-06-2020,186
JOSE PINHEIRO,14-06-2020,195
JOSE PINHEIRO,15-06-2020,210
JOSE PINHEIRO,16-06-2020,220
JOSE PINHEIRO,17-06-2020,229
JOSE PINHEIRO,18-06-2020,233
JOSE PINHEIRO,19-06-2020,244
JOSE PINHEIRO,20-06-2020,244
JOSE PINHEIRO,22-06-2020,264
JOSE PINHEIRO,23-06-2020,273
JOSE PINHEIRO,24-06-2020,289
JOSE PINHEIRO,25-06-2020,298
JOSE PINHEIRO,26-06-2020,305
JOSE PINHEIRO,27-06-2020,305
JOSE PINHEIRO,29-06-2020,319
JOSE PINHEIRO,30-06-2020,323
JOSE PINHEIRO,01-07-2020,335
JOSE PINHEIRO,02-07-2020,344
JOSE PINHEIRO,03-07-2020,345
JOSE PINHEIRO,04-07-2020,347
JOSE PINHEIRO,05-07-2020,349
JOSE PINHEIRO,06-07-2020,357
JOSE PINHEIRO,07-07-2020,360
JOSE PINHEIRO,08-07-2020,361
JOSE PINHEIRO,09-07-2020,364
JOSE PINHEIRO,10-07-2020,374
JOSE PINHEIRO,11-07-2020,375
JOSE PINHEIRO,13-07-2020,377
JOSE PINHEIRO,14-07-2020,378
JOSE PINHEIRO,15-07-2020,384
JOSE PINHEIRO,16-07-2020,385
JOSE PINHEIRO,17-07-2020,396
JOSE PINHEIRO,20-07-2020,397
JOSE PINHEIRO,21-07-2020,408
JOSE PINHEIRO,22-07-2020,415
JOSE PINHEIRO,23-07-2020,417
JOSE PINHEIRO,24-07-2020,423
JOSE PINHEIRO,25-07-2020,423
JOSE PINHEIRO,27-07-2020,426
JOSE PINHEIRO,28-07-2020,427
JOSE PINHEIRO,29-07-2020,441
JOSE PINHEIRO,30-07-2020,443
JOSE PINHEIRO,31-07-2020,447
JOSE PINHEIRO,01-08-2020,447
JOSE PINHEIRO,02-08-2020,447
JOSE PINHEIRO,03-08-2020,449
JOSE PINHEIRO,04-08-2020,450
JOSE PINHEIRO,05-08-2020,455
JOSE PINHEIRO,06-08-2020,466
JOSE PINHEIRO,07-08-2020,468
JOSE PINHEIRO,10-08-2020,472
JOSE PINHEIRO,11-08-2020,475
JOSE PINHEIRO,12-08-2020,479
JOSE PINHEIRO,13-08-2020,480
