bairro,data,casos
LIBERDADE,2020-04-17,1
LIBERDADE,2020-04-18,1
LIBERDADE,2020-04-19,1
LIBERDADE,2020-04-20,1
LIBERDADE,2020-04-21,1
LIBERDADE,2020-04-22,1
LIBERDADE,2020-04-23,1
LIBERDADE,2020-04-24,1
LIBERDADE,2020-04-25,1
LIBERDADE,2020-04-26,1
LIBERDADE,2020-04-27,1
LIBERDADE,2020-04-28,1
LIBERDADE,2020-04-29,1
LIBERDADE,2020-04-30,1
LIBERDADE,2020-05-01,1
LIBERDADE,2020-05-02,1
LIBERDADE,2020-05-03,1
LIBERDADE,2020-05-04,1
LIBERDADE,2020-05-05,1
LIBERDADE,2020-05-06,1
LIBERDADE,2020-05-07,1
LIBERDADE,2020-05-08,1
LIBERDADE,2020-05-09,1
LIBERDADE,2020-05-10,1
LIBERDADE,2020-05-11,1
LIBERDADE,2020-05-12,1
LIBERDADE,2020-05-13,1
LIBERDADE,2020-05-14,1
LIBERDADE,2020-05-15,1
LIBERDADE,2020-05-16,1
LIBERDADE,2020-05-17,1
LIBERDADE,2020-05-18,1
LIBERDADE,2020-05-19,1
LIBERDADE,2020-05-20,1
LIBERDADE,2020-05-21,1
LIBERDADE,2020-05-22,1
LIBERDADE,2020-05-23,1
LIBERDADE,2020-05-24,1
LIBERDADE,2020-05-25,1
LIBERDADE,2020-05-26,1
LIBERDADE,2020-05-27,1
LIBERDADE,2020-05-28,1
LIBERDADE,2020-05-29,1
LIBERDADE,2020-05-30,1
LIBERDADE,2020-05-31,1
LIBERDADE,2020-06-01,1
LIBERDADE,2020-06-02,1
LIBERDADE,2020-06-03,1
LIBERDADE,2020-06-04,1
LIBERDADE,2020-06-05,1
LIBERDADE,2020-06-06,1
LIBERDADE,2020-06-07,1
LIBERDADE,2020-06-08,1
LIBERDADE,2020-06-09,1
LIBERDADE,2020-06-10,1
LIBERDADE,2020-06-11,1
LIBERDADE,2020-06-12,1
LIBERDADE,2020-06-13,1
LIBERDADE,2020-06-14,1
LIBERDADE,2020-06-15,1
LIBERDADE,2020-06-16,1
LIBERDADE,2020-06-17,1
LIBERDADE,2020-06-18,1
LIBERDADE,2020-06-19,1
LIBERDADE,2020-06-20,1
LIBERDADE,2020-06-21,1
LIBERDADE,2020-06-22,1
LIBERDADE,2020-06-23,1
LIBERDADE,2020-06-24,1
LIBERDADE,2020-06-25,1
LIBERDADE,2020-06-26,1
LIBERDADE,2020-06-27,1
LIBERDADE,2020-06-28,1
LIBERDADE,2020-06-29,1
LIBERDADE,2020-06-30,1
LIBERDADE,2020-07-01,1
LIBERDADE,2020-07-02,1
LIBERDADE,2020-07-03,1
LIBERDADE,2020-07-04,1
LIBERDADE,2020-07-05,1
LIBERDADE,2020-07-06,1
LIBERDADE,2020-07-07,1
LIBERDADE,2020-07-08,1
LIBERDADE,2020-07-09,1
LIBERDADE,2020-07-10,1
LIBERDADE,2020-07-11,1
LIBERDADE,2020-07-12,1
LIBERDADE,2020-07-13,1
LIBERDADE,2020-07-14,1
LIBERDADE,2020-07-15,1
LIBERDADE,2020-07-16,1
LIBERDADE,2020-07-17,1
LIBERDADE,2020-07-18,1
LIBERDADE,2020-07-19,1
LIBERDADE,2020-07-20,1
LIBERDADE,2020-07-21,1
LIBERDADE,2020-07-22,1
LIBERDADE,2020-07-23,1
LIBERDADE,2020-07-24,1
LIBERDADE,2020-07-25,1
LIBERDADE,2020-07-26,1
LIBERDADE,2020-07-27,1
LIBERDADE,2020-07-28,1
LIBERDADE,2020-07-29,1
LIBERDADE,2020-07-30,1
LIBERDADE,2020-07-31,1
LIBERDADE,2020-08-01,1
LIBERDADE,2020-08-02,1
LIBERDADE,2020-08-03,1
LIBERDADE,2020-08-04,1
LIBERDADE,2020-08-05,1
LIBERDADE,2020-08-06,1
LIBERDADE,2020-08-07,1
LIBERDADE,2020-08-08,1
LIBERDADE,2020-08-09,1
LIBERDADE,2020-08-10,1
LIBERDADE,2020-08-11,1
LIBERDADE,2020-08-12,1
LIBERDADE,2020-08-13,1
LIBERDADE,17-04-2020,1
LIBERDADE,21-04-2020,1
LIBERDADE,28-04-2020,1
LIBERDADE,29-04-2020,2
LIBERDADE,03-05-2020,2
LIBERDADE,04-05-2020,2
LIBERDADE,05-05-2020,2
LIBERDADE,09-05-2020,2
LIBERDADE,12-05-2020,3
LIBERDADE,14-05-2020,5
LIBERDADE,15-05-2020,8
LIBERDADE,17-05-2020,8
LIBERDADE,18-05-2020,9
LIBERDADE,19-05-2020,17
LIBERDADE,20-05-2020,25
LIBERDADE,21-05-2020,31
LIBERDADE,22-05-2020,40
LIBERDADE,23-05-2020,40
LIBERDADE,25-05-2020,48
LIBERDADE,26-05-2020,51
LIBERDADE,27-05-2020,65
LIBERDADE,28-05-2020,76
LIBERDADE,29-05-2020,91
LIBERDADE,30-05-2020,94
LIBERDADE,01-06-2020,100
LIBERDADE,02-06-2020,106
LIBERDADE,03-06-2020,116
LIBERDADE,04-06-2020,120
LIBERDADE,05-06-2020,127
LIBERDADE,06-06-2020,133
LIBERDADE,07-06-2020,138
LIBERDADE,08-06-2020,157
LIBERDADE,09-06-2020,161
LIBERDADE,10-06-2020,179
LIBERDADE,11-06-2020,184
LIBERDADE,12-06-2020,194
LIBERDADE,13-06-2020,195
LIBERDADE,14-06-2020,198
LIBERDADE,15-06-2020,207
LIBERDADE,16-06-2020,217
LIBERDADE,17-06-2020,224
LIBERDADE,18-06-2020,228
LIBERDADE,19-06-2020,237
LIBERDADE,20-06-2020,239
LIBERDADE,21-06-2020,239
LIBERDADE,22-06-2020,251
LIBERDADE,23-06-2020,261
LIBERDADE,24-06-2020,267
LIBERDADE,25-06-2020,272
LIBERDADE,26-06-2020,283
LIBERDADE,27-06-2020,284
LIBERDADE,29-06-2020,296
LIBERDADE,30-06-2020,303
LIBERDADE,01-07-2020,311
LIBERDADE,02-07-2020,318
LIBERDADE,03-07-2020,329
LIBERDADE,04-07-2020,330
