bairro,data,casos
LOUZEIRO,2020-05-29,1
LOUZEIRO,2020-05-30,1
LOUZEIRO,2020-05-31,1
LOUZEIRO,2020-06-01,1
LOUZEIRO,2020-06-02,1
LOUZEIRO,2020-06-03,1
LOUZEIRO,2020-06-04,1
LOUZEIRO,2020-06-05,1
LOUZEIRO,2020-06-06,1
LOUZEIRO,2020-06-07,1
LOUZEIRO,2020-06-08,1
LOUZEIRO,2020-06-09,1
LOUZEIRO,2020-06-10,1
LOUZEIRO,2020-06-11,1
LOUZEIRO,2020-06-12,1
LOUZEIRO,2020-06-13,1
LOUZEIRO,2020-06-14,1
LOUZEIRO,2020-06-15,1
LOUZEIRO,2020-06-16,1
LOUZEIRO,2020-06-17,1
LOUZEIRO,2020-06-18,1
LOUZEIRO,2020-06-19,1
LOUZEIRO,2020-06-20,1
LOUZEIRO,2020-06-21,1
LOUZEIRO,2020-06-22,1
LOUZEIRO,2020-06-23,1
LOUZEIRO,2020-06-24,1
LOUZEIRO,2020-06-25,1
LOUZEIRO,2020-06-26,1
LOUZEIRO,2020-06-27,1
LOUZEIRO,2020-06-28,1
LOUZEIRO,2020-06-29,1
LOUZEIRO,2020-06-30,1
LOUZEIRO,2020-07-01,1
LOUZEIRO,2020-07-02,1
LOUZEIRO,2020-07-03,1
LOUZEIRO,2020-07-04,1
LOUZEIRO,2020-07-05,1
LOUZEIRO,2020-07-06,1
LOUZEIRO,2020-07-07,1
LOUZEIRO,2020-07-08,1
LOUZEIRO,2020-07-09,1
LOUZEIRO,2020-07-10,1
LOUZEIRO,2020-07-11,1
LOUZEIRO,2020-07-12,1
LOUZEIRO,2020-07-13,1
LOUZEIRO,2020-07-14,1
LOUZEIRO,2020-07-15,1
LOUZEIRO,2020-07-16,1
LOUZEIRO,2020-07-17,1
LOUZEIRO,2020-07-18,1
LOUZEIRO,2020-07-19,1
LOUZEIRO,2020-07-20,1
LOUZEIRO,2020-07-21,1
LOUZEIRO,2020-07-22,1
LOUZEIRO,2020-07-23,1
LOUZEIRO,2020-07-24,1
LOUZEIRO,2020-07-25,1
LOUZEIRO,2020-07-26,1
LOUZEIRO,2020-07-27,1
LOUZEIRO,2020-07-28,1
LOUZEIRO,29-05-2020,1
LOUZEIRO,08-06-2020,1
LOUZEIRO,09-06-2020,1
LOUZEIRO,08-07-2020,1
LOUZEIRO,17-07-2020,1
LOUZEIRO,23-07-2020,1
LOUZEIRO,28-07-2020,1
