bairro,data,casos
MALVINAS,2020-04-13,1
MALVINAS,2020-04-14,1
MALVINAS,2020-04-15,1
MALVINAS,2020-04-16,1
MALVINAS,2020-04-17,1
MALVINAS,2020-04-18,1
MALVINAS,2020-04-19,1
MALVINAS,2020-04-20,1
MALVINAS,2020-04-21,1
MALVINAS,2020-04-22,1
MALVINAS,2020-04-23,1
MALVINAS,2020-04-24,1
MALVINAS,2020-04-25,1
MALVINAS,2020-04-26,1
MALVINAS,2020-04-27,1
MALVINAS,2020-04-28,1
MALVINAS,2020-04-29,1
MALVINAS,2020-04-30,1
MALVINAS,2020-05-01,1
MALVINAS,2020-05-02,1
MALVINAS,2020-05-03,1
MALVINAS,2020-05-04,1
MALVINAS,2020-05-05,1
MALVINAS,2020-05-06,1
MALVINAS,2020-05-07,1
MALVINAS,2020-05-08,1
MALVINAS,2020-05-09,1
MALVINAS,2020-05-10,1
MALVINAS,2020-05-11,1
MALVINAS,2020-05-12,1
MALVINAS,2020-05-13,1
MALVINAS,2020-05-14,1
MALVINAS,2020-05-15,1
MALVINAS,2020-05-16,1
MALVINAS,2020-05-17,1
MALVINAS,2020-05-18,1
MALVINAS,2020-05-19,1
MALVINAS,2020-05-20,1
MALVINAS,2020-05-21,1
MALVINAS,2020-05-22,1
MALVINAS,2020-05-23,1
MALVINAS,2020-05-24,1
MALVINAS,2020-05-25,1
MALVINAS,2020-05-26,1
MALVINAS,2020-05-27,1
MALVINAS,2020-05-28,1
MALVINAS,2020-05-29,1
MALVINAS,2020-05-30,1
MALVINAS,2020-05-31,1
MALVINAS,2020-06-01,1
MALVINAS,2020-06-02,1
MALVINAS,2020-06-03,1
MALVINAS,2020-06-04,1
MALVINAS,2020-06-05,1
MALVINAS,2020-06-06,1
MALVINAS,2020-06-07,1
MALVINAS,2020-06-08,1
MALVINAS,2020-06-09,1
MALVINAS,2020-06-10,1
MALVINAS,2020-06-11,1
MALVINAS,2020-06-12,1
MALVINAS,2020-06-13,1
MALVINAS,2020-06-14,1
MALVINAS,2020-06-15,1
MALVINAS,2020-06-16,1
MALVINAS,2020-06-17,1
MALVINAS,2020-06-18,1
MALVINAS,2020-06-19,1
MALVINAS,2020-06-20,1
MALVINAS,2020-06-21,1
MALVINAS,2020-06-22,1
MALVINAS,2020-06-23,1
MALVINAS,2020-06-24,1
MALVINAS,2020-06-25,1
MALVINAS,2020-06-26,1
MALVINAS,2020-06-27,1
MALVINAS,2020-06-28,1
MALVINAS,2020-06-29,1
MALVINAS,2020-06-30,1
MALVINAS,2020-07-01,1
MALVINAS,2020-07-02,1
MALVINAS,2020-07-03,1
MALVINAS,2020-07-04,1
MALVINAS,2020-07-05,1
MALVINAS,2020-07-06,1
MALVINAS,2020-07-07,1
MALVINAS,2020-07-08,1
MALVINAS,2020-07-09,1
MALVINAS,2020-07-10,1
MALVINAS,2020-07-11,1
MALVINAS,2020-07-12,1
MALVINAS,2020-07-13,1
MALVINAS,2020-07-14,1
MALVINAS,2020-07-15,1
MALVINAS,2020-07-16,1
MALVINAS,2020-07-17,1
MALVINAS,2020-07-18,1
MALVINAS,2020-07-19,1
MALVINAS,2020-07-20,1
MALVINAS,2020-07-21,1
MALVINAS,2020-07-22,1
MALVINAS,2020-07-23,1
MALVINAS,2020-07-24,1
MALVINAS,2020-07-25,1
MALVINAS,2020-07-26,1
MALVINAS,2020-07-27,1
MALVINAS,2020-07-28,1
MALVINAS,2020-07-29,1
MALVINAS,2020-07-30,1
MALVINAS,2020-07-31,1
MALVINAS,2020-08-01,1
MALVINAS,2020-08-02,1
MALVINAS,2020-08-03,1
MALVINAS,2020-08-04,1
MALVINAS,2020-08-05,1
MALVINAS,2020-08-06,1
MALVINAS,2020-08-07,1
MALVINAS,2020-08-08,1
MALVINAS,2020-08-09,1
MALVINAS,2020-08-10,1
MALVINAS,2020-08-11,1
MALVINAS,2020-08-12,1
MALVINAS,2020-08-13,1
MALVINAS,13-04-2020,1
MALVINAS,18-04-2020,1
MALVINAS,25-04-2020,1
MALVINAS,30-04-2020,1
MALVINAS,06-05-2020,2
MALVINAS,09-05-2020,2
MALVINAS,12-05-2020,3
MALVINAS,13-05-2020,5
MALVINAS,14-05-2020,7
MALVINAS,15-05-2020,9
MALVINAS,16-05-2020,9
MALVINAS,17-05-2020,9
MALVINAS,18-05-2020,14
MALVINAS,19-05-2020,17
MALVINAS,20-05-2020,21
MALVINAS,21-05-2020,23
MALVINAS,22-05-2020,31
MALVINAS,23-05-2020,33
MALVINAS,24-05-2020,33
MALVINAS,25-05-2020,47
MALVINAS,26-05-2020,48
MALVINAS,27-05-2020,59
MALVINAS,28-05-2020,70
MALVINAS,29-05-2020,81
MALVINAS,30-05-2020,86
MALVINAS,01-06-2020,91
MALVINAS,02-06-2020,106
MALVINAS,03-06-2020,115
MALVINAS,04-06-2020,120
MALVINAS,05-06-2020,124
MALVINAS,06-06-2020,131
MALVINAS,07-06-2020,140
MALVINAS,08-06-2020,167
MALVINAS,09-06-2020,184
MALVINAS,10-06-2020,201
MALVINAS,11-06-2020,215
MALVINAS,12-06-2020,230
MALVINAS,13-06-2020,233
MALVINAS,14-06-2020,239
MALVINAS,15-06-2020,256
MALVINAS,16-06-2020,269
MALVINAS,17-06-2020,283
MALVINAS,18-06-2020,306
MALVINAS,19-06-2020,317
MALVINAS,20-06-2020,323
MALVINAS,21-06-2020,324
MALVINAS,22-06-2020,351
MALVINAS,23-06-2020,367
MALVINAS,24-06-2020,384
MALVINAS,25-06-2020,394
MALVINAS,26-06-2020,406
MALVINAS,27-06-2020,407
MALVINAS,28-06-2020,407
MALVINAS,29-06-2020,430
MALVINAS,30-06-2020,452
MALVINAS,01-07-2020,473
MALVINAS,02-07-2020,488
MALVINAS,03-07-2020,496
MALVINAS,04-07-2020,498
MALVINAS,05-07-2020,498
MALVINAS,06-07-2020,511
MALVINAS,07-07-2020,533
MALVINAS,08-07-2020,546
MALVINAS,09-07-2020,560
MALVINAS,10-07-2020,572
MALVINAS,11-07-2020,572
MALVINAS,13-07-2020,580
MALVINAS,14-07-2020,605
MALVINAS,15-07-2020,616
MALVINAS,16-07-2020,623
MALVINAS,17-07-2020,646
MALVINAS,18-07-2020,647
MALVINAS,19-07-2020,647
MALVINAS,20-07-2020,652
MALVINAS,21-07-2020,684
MALVINAS,22-07-2020,698
MALVINAS,23-07-2020,708
MALVINAS,24-07-2020,716
MALVINAS,26-07-2020,716
MALVINAS,27-07-2020,726
MALVINAS,28-07-2020,738
MALVINAS,29-07-2020,758
MALVINAS,30-07-2020,772
MALVINAS,31-07-2020,784
MALVINAS,01-08-2020,787
MALVINAS,03-08-2020,796
MALVINAS,04-08-2020,806
MALVINAS,05-08-2020,816
MALVINAS,06-08-2020,821
MALVINAS,07-08-2020,827
MALVINAS,10-08-2020,837
MALVINAS,11-08-2020,838
MALVINAS,12-08-2020,844
MALVINAS,13-08-2020,844
