bairro,data,casos
MONTE SANTO,2020-08-05,1
MONTE SANTO,2020-08-06,1
MONTE SANTO,2020-08-07,1
MONTE SANTO,2020-08-08,1
MONTE SANTO,2020-08-09,1
MONTE SANTO,2020-08-10,1
MONTE SANTO,2020-08-11,1
MONTE SANTO,2020-08-12,1
MONTE SANTO,2020-08-13,1
MONTE SANTO,2020-08-14,1
MONTE SANTO,2020-08-15,1
MONTE SANTO,2020-08-16,1
MONTE SANTO,2020-08-17,1
MONTE SANTO,2020-08-18,1
MONTE SANTO,2020-08-19,1
MONTE SANTO,2020-08-20,1
MONTE SANTO,2020-08-21,1
MONTE SANTO,2020-08-22,1
MONTE SANTO,2020-08-23,1
MONTE SANTO,2020-08-24,1
MONTE SANTO,2020-08-25,1
MONTE SANTO,2020-08-26,1
MONTE SANTO,2020-08-27,1
MONTE SANTO,2020-08-28,1
MONTE SANTO,2020-08-29,1
MONTE SANTO,2020-08-30,1
MONTE SANTO,2020-08-31,1
MONTE SANTO,2020-09-01,1
MONTE SANTO,2020-09-02,1
MONTE SANTO,2020-09-03,1
MONTE SANTO,2020-09-04,1
MONTE SANTO,2020-09-05,1
MONTE SANTO,2020-09-06,1
MONTE SANTO,2020-09-07,1
MONTE SANTO,2020-09-08,1
MONTE SANTO,2020-09-09,1
MONTE SANTO,2020-09-10,1
MONTE SANTO,2020-09-11,1
MONTE SANTO,2020-09-12,1
MONTE SANTO,2020-09-13,1
MONTE SANTO,2020-09-14,1
MONTE SANTO,2020-09-15,1
MONTE SANTO,2020-09-16,1
MONTE SANTO,2020-09-17,1
MONTE SANTO,2020-09-18,1
MONTE SANTO,2020-09-19,1
MONTE SANTO,2020-09-20,1
MONTE SANTO,2020-09-21,1
MONTE SANTO,2020-09-22,1
MONTE SANTO,2020-09-23,1
MONTE SANTO,2020-09-24,1
MONTE SANTO,2020-09-25,1
MONTE SANTO,2020-09-26,1
MONTE SANTO,2020-09-27,1
MONTE SANTO,2020-09-28,1
MONTE SANTO,2020-09-29,1
MONTE SANTO,2020-09-30,1
MONTE SANTO,2020-10-01,1
MONTE SANTO,2020-10-02,1
MONTE SANTO,2020-10-03,1
MONTE SANTO,2020-10-04,1
MONTE SANTO,2020-10-05,1
MONTE SANTO,2020-10-06,1
MONTE SANTO,2020-10-07,1
MONTE SANTO,2020-10-08,1
MONTE SANTO,2020-10-09,1
MONTE SANTO,2020-10-10,1
MONTE SANTO,2020-10-11,1
MONTE SANTO,2020-10-12,1
MONTE SANTO,2020-10-13,1
MONTE SANTO,2020-10-14,1
MONTE SANTO,2020-10-15,1
MONTE SANTO,2020-10-16,1
MONTE SANTO,2020-10-17,1
MONTE SANTO,2020-10-18,1
MONTE SANTO,2020-10-19,1
MONTE SANTO,2020-10-20,1
MONTE SANTO,2020-10-21,1
MONTE SANTO,2020-10-22,1
MONTE SANTO,2020-10-23,1
MONTE SANTO,2020-10-24,1
MONTE SANTO,2020-10-25,1
MONTE SANTO,2020-10-26,1
MONTE SANTO,2020-10-27,1
MONTE SANTO,2020-10-28,1
MONTE SANTO,2020-10-29,1
MONTE SANTO,2020-10-30,1
MONTE SANTO,2020-10-31,1
MONTE SANTO,2020-11-01,1
MONTE SANTO,2020-11-02,1
MONTE SANTO,2020-11-03,1
MONTE SANTO,2020-11-04,1
MONTE SANTO,2020-11-05,1
MONTE SANTO,2020-11-06,1
MONTE SANTO,2020-11-07,1
MONTE SANTO,2020-11-08,1
MONTE SANTO,2020-11-09,1
MONTE SANTO,2020-11-10,1
MONTE SANTO,2020-11-11,1
MONTE SANTO,2020-11-12,1
MONTE SANTO,2020-11-13,1
MONTE SANTO,2020-11-14,1
MONTE SANTO,2020-11-15,1
MONTE SANTO,2020-11-16,1
MONTE SANTO,2020-11-17,1
MONTE SANTO,2020-11-18,1
MONTE SANTO,2020-11-19,1
MONTE SANTO,2020-11-20,1
MONTE SANTO,2020-11-21,1
MONTE SANTO,2020-11-22,1
MONTE SANTO,2020-11-23,1
MONTE SANTO,2020-11-24,1
MONTE SANTO,2020-11-25,1
MONTE SANTO,2020-11-26,1
MONTE SANTO,2020-11-27,1
MONTE SANTO,2020-11-28,1
MONTE SANTO,2020-11-29,1
MONTE SANTO,2020-11-30,1
MONTE SANTO,2020-12-01,1
MONTE SANTO,2020-12-02,1
MONTE SANTO,2020-12-03,1
MONTE SANTO,2020-12-04,1
MONTE SANTO,2020-12-05,1
MONTE SANTO,2020-12-06,1
MONTE SANTO,2020-12-07,1
MONTE SANTO,2020-12-08,1
MONTE SANTO,08-05-2020,1
MONTE SANTO,14-05-2020,1
MONTE SANTO,15-05-2020,4
MONTE SANTO,16-05-2020,4
MONTE SANTO,17-05-2020,6
MONTE SANTO,18-05-2020,6
MONTE SANTO,19-05-2020,7
MONTE SANTO,20-05-2020,11
MONTE SANTO,22-05-2020,15
MONTE SANTO,23-05-2020,17
MONTE SANTO,25-05-2020,20
MONTE SANTO,26-05-2020,21
MONTE SANTO,27-05-2020,23
MONTE SANTO,28-05-2020,25
MONTE SANTO,29-05-2020,28
MONTE SANTO,30-05-2020,31
MONTE SANTO,31-05-2020,31
MONTE SANTO,01-06-2020,31
MONTE SANTO,02-06-2020,35
MONTE SANTO,03-06-2020,38
MONTE SANTO,04-06-2020,39
MONTE SANTO,05-06-2020,39
MONTE SANTO,06-06-2020,41
MONTE SANTO,07-06-2020,44
MONTE SANTO,08-06-2020,52
MONTE SANTO,09-06-2020,53
MONTE SANTO,10-06-2020,57
MONTE SANTO,11-06-2020,64
MONTE SANTO,12-06-2020,71
MONTE SANTO,13-06-2020,71
MONTE SANTO,14-06-2020,74
MONTE SANTO,15-06-2020,78
MONTE SANTO,16-06-2020,83
MONTE SANTO,17-06-2020,93
MONTE SANTO,18-06-2020,97
MONTE SANTO,19-06-2020,100
MONTE SANTO,20-06-2020,100
MONTE SANTO,22-06-2020,102
MONTE SANTO,23-06-2020,107
MONTE SANTO,24-06-2020,109
MONTE SANTO,25-06-2020,111
MONTE SANTO,26-06-2020,115
MONTE SANTO,29-06-2020,123
MONTE SANTO,30-06-2020,125
MONTE SANTO,01-07-2020,132
MONTE SANTO,02-07-2020,136
MONTE SANTO,03-07-2020,142
MONTE SANTO,06-07-2020,143
MONTE SANTO,08-07-2020,148
MONTE SANTO,09-07-2020,149
MONTE SANTO,10-07-2020,150
MONTE SANTO,13-07-2020,154
MONTE SANTO,14-07-2020,156
MONTE SANTO,15-07-2020,161
MONTE SANTO,16-07-2020,163
MONTE SANTO,17-07-2020,167
MONTE SANTO,19-07-2020,167
MONTE SANTO,20-07-2020,169
MONTE SANTO,21-07-2020,173
MONTE SANTO,22-07-2020,179
MONTE SANTO,24-07-2020,182
MONTE SANTO,26-07-2020,182
MONTE SANTO,27-07-2020,184
MONTE SANTO,28-07-2020,188
MONTE SANTO,29-07-2020,189
MONTE SANTO,30-07-2020,189
MONTE SANTO,31-07-2020,190
MONTE SANTO,01-08-2020,190
MONTE SANTO,03-08-2020,190
MONTE SANTO,04-08-2020,193
MONTE SANTO,05-08-2020,193
MONTE SANTO,06-08-2020,195
MONTE SANTO,07-08-2020,198
MONTE SANTO,10-08-2020,199
MONTE SANTO,12-08-2020,200
