bairro,data,casos
PORTAL SUDOESTE,12-05-2020,1
PORTAL SUDOESTE,13-05-2020,1
PORTAL SUDOESTE,19-05-2020,2
PORTAL SUDOESTE,22-05-2020,2
PORTAL SUDOESTE,26-05-2020,3
PORTAL SUDOESTE,27-05-2020,3
PORTAL SUDOESTE,28-05-2020,3
PORTAL SUDOESTE,29-05-2020,4
PORTAL SUDOESTE,02-06-2020,4
PORTAL SUDOESTE,03-06-2020,5
PORTAL SUDOESTE,04-06-2020,5
PORTAL SUDOESTE,05-06-2020,5
PORTAL SUDOESTE,10-06-2020,6
PORTAL SUDOESTE,15-06-2020,6
PORTAL SUDOESTE,17-06-2020,7
PORTAL SUDOESTE,18-06-2020,7
PORTAL SUDOESTE,20-06-2020,7
PORTAL SUDOESTE,23-06-2020,7
PORTAL SUDOESTE,09-07-2020,8
PORTAL SUDOESTE,10-07-2020,9
PORTAL SUDOESTE,13-07-2020,9
PORTAL SUDOESTE,20-07-2020,9
PORTAL SUDOESTE,23-07-2020,10
PORTAL SUDOESTE,24-07-2020,10
PORTAL SUDOESTE,04-08-2020,10
PORTAL SUDOESTE,07-08-2020,10
