bairro,data,casos
PRESIDENTE MEDICI,2020-04-29,1
PRESIDENTE MEDICI,2020-04-30,1
PRESIDENTE MEDICI,2020-05-01,1
PRESIDENTE MEDICI,2020-05-02,1
PRESIDENTE MEDICI,2020-05-03,1
PRESIDENTE MEDICI,2020-05-04,1
PRESIDENTE MEDICI,2020-05-05,1
PRESIDENTE MEDICI,2020-05-06,1
PRESIDENTE MEDICI,2020-05-07,1
PRESIDENTE MEDICI,2020-05-08,1
PRESIDENTE MEDICI,2020-05-09,1
PRESIDENTE MEDICI,2020-05-10,1
PRESIDENTE MEDICI,2020-05-11,1
PRESIDENTE MEDICI,2020-05-12,1
PRESIDENTE MEDICI,2020-05-13,1
PRESIDENTE MEDICI,2020-05-14,1
PRESIDENTE MEDICI,2020-05-15,1
PRESIDENTE MEDICI,2020-05-16,1
PRESIDENTE MEDICI,2020-05-17,1
PRESIDENTE MEDICI,2020-05-18,1
PRESIDENTE MEDICI,2020-05-19,1
PRESIDENTE MEDICI,2020-05-20,1
PRESIDENTE MEDICI,2020-05-21,1
PRESIDENTE MEDICI,2020-05-22,1
PRESIDENTE MEDICI,2020-05-23,1
PRESIDENTE MEDICI,2020-05-24,1
PRESIDENTE MEDICI,2020-05-25,1
PRESIDENTE MEDICI,2020-05-26,1
PRESIDENTE MEDICI,2020-05-27,1
PRESIDENTE MEDICI,2020-05-28,1
PRESIDENTE MEDICI,2020-05-29,1
PRESIDENTE MEDICI,2020-05-30,1
PRESIDENTE MEDICI,2020-05-31,1
PRESIDENTE MEDICI,2020-06-01,1
PRESIDENTE MEDICI,2020-06-02,1
PRESIDENTE MEDICI,2020-06-03,1
PRESIDENTE MEDICI,2020-06-04,1
PRESIDENTE MEDICI,2020-06-05,1
PRESIDENTE MEDICI,2020-06-06,1
PRESIDENTE MEDICI,2020-06-07,1
PRESIDENTE MEDICI,2020-06-08,1
PRESIDENTE MEDICI,2020-06-09,1
PRESIDENTE MEDICI,2020-06-10,1
PRESIDENTE MEDICI,2020-06-11,1
PRESIDENTE MEDICI,2020-06-12,1
PRESIDENTE MEDICI,2020-06-13,1
PRESIDENTE MEDICI,2020-06-14,1
PRESIDENTE MEDICI,2020-06-15,1
PRESIDENTE MEDICI,2020-06-16,1
PRESIDENTE MEDICI,2020-06-17,1
PRESIDENTE MEDICI,2020-06-18,1
PRESIDENTE MEDICI,2020-06-19,1
PRESIDENTE MEDICI,2020-06-20,1
PRESIDENTE MEDICI,2020-06-21,1
PRESIDENTE MEDICI,2020-06-22,1
PRESIDENTE MEDICI,2020-06-23,1
PRESIDENTE MEDICI,2020-06-24,1
PRESIDENTE MEDICI,2020-06-25,1
PRESIDENTE MEDICI,2020-06-26,1
PRESIDENTE MEDICI,2020-06-27,1
PRESIDENTE MEDICI,2020-06-28,1
PRESIDENTE MEDICI,2020-06-29,1
PRESIDENTE MEDICI,2020-06-30,1
PRESIDENTE MEDICI,2020-07-01,1
PRESIDENTE MEDICI,2020-07-02,1
PRESIDENTE MEDICI,2020-07-03,1
PRESIDENTE MEDICI,2020-07-04,1
PRESIDENTE MEDICI,2020-07-05,1
PRESIDENTE MEDICI,2020-07-06,1
PRESIDENTE MEDICI,2020-07-07,1
PRESIDENTE MEDICI,2020-07-08,1
PRESIDENTE MEDICI,2020-07-09,1
PRESIDENTE MEDICI,2020-07-10,1
PRESIDENTE MEDICI,2020-07-11,1
PRESIDENTE MEDICI,2020-07-12,1
PRESIDENTE MEDICI,2020-07-13,1
PRESIDENTE MEDICI,2020-07-14,1
PRESIDENTE MEDICI,2020-07-15,1
PRESIDENTE MEDICI,2020-07-16,1
PRESIDENTE MEDICI,2020-07-17,1
PRESIDENTE MEDICI,2020-07-18,1
PRESIDENTE MEDICI,2020-07-19,1
PRESIDENTE MEDICI,2020-07-20,1
PRESIDENTE MEDICI,2020-07-21,1
PRESIDENTE MEDICI,2020-07-22,1
PRESIDENTE MEDICI,2020-07-23,1
PRESIDENTE MEDICI,2020-07-24,1
PRESIDENTE MEDICI,2020-07-25,1
PRESIDENTE MEDICI,2020-07-26,1
PRESIDENTE MEDICI,2020-07-27,1
PRESIDENTE MEDICI,2020-07-28,1
PRESIDENTE MEDICI,2020-07-29,1
PRESIDENTE MEDICI,2020-07-30,1
PRESIDENTE MEDICI,2020-07-31,1
PRESIDENTE MEDICI,2020-08-01,1
PRESIDENTE MEDICI,2020-08-02,1
PRESIDENTE MEDICI,2020-08-03,1
PRESIDENTE MEDICI,2020-08-04,1
PRESIDENTE MEDICI,2020-08-05,1
PRESIDENTE MEDICI,2020-08-06,1
PRESIDENTE MEDICI,2020-08-07,1
PRESIDENTE MEDICI,2020-08-08,1
PRESIDENTE MEDICI,2020-08-09,1
PRESIDENTE MEDICI,2020-08-10,1
PRESIDENTE MEDICI,2020-08-11,1
PRESIDENTE MEDICI,2020-08-12,1
PRESIDENTE MEDICI,2020-08-13,1
PRESIDENTE MEDICI,29-04-2020,1
PRESIDENTE MEDICI,30-04-2020,2
PRESIDENTE MEDICI,02-05-2020,2
PRESIDENTE MEDICI,04-05-2020,6
PRESIDENTE MEDICI,11-05-2020,6
PRESIDENTE MEDICI,14-05-2020,6
PRESIDENTE MEDICI,15-05-2020,6
PRESIDENTE MEDICI,18-05-2020,6
PRESIDENTE MEDICI,19-05-2020,9
PRESIDENTE MEDICI,22-05-2020,14
PRESIDENTE MEDICI,23-05-2020,15
PRESIDENTE MEDICI,25-05-2020,15
PRESIDENTE MEDICI,27-05-2020,16
PRESIDENTE MEDICI,28-05-2020,18
PRESIDENTE MEDICI,29-05-2020,22
PRESIDENTE MEDICI,30-05-2020,24
PRESIDENTE MEDICI,31-05-2020,24
PRESIDENTE MEDICI,01-06-2020,25
PRESIDENTE MEDICI,02-06-2020,26
PRESIDENTE MEDICI,03-06-2020,31
PRESIDENTE MEDICI,04-06-2020,31
PRESIDENTE MEDICI,05-06-2020,34
PRESIDENTE MEDICI,06-06-2020,34
PRESIDENTE MEDICI,07-06-2020,36
PRESIDENTE MEDICI,08-06-2020,39
PRESIDENTE MEDICI,09-06-2020,43
PRESIDENTE MEDICI,10-06-2020,43
PRESIDENTE MEDICI,11-06-2020,49
PRESIDENTE MEDICI,12-06-2020,49
PRESIDENTE MEDICI,14-06-2020,49
PRESIDENTE MEDICI,15-06-2020,53
PRESIDENTE MEDICI,16-06-2020,55
PRESIDENTE MEDICI,17-06-2020,60
PRESIDENTE MEDICI,18-06-2020,68
PRESIDENTE MEDICI,19-06-2020,72
PRESIDENTE MEDICI,20-06-2020,72
PRESIDENTE MEDICI,22-06-2020,74
PRESIDENTE MEDICI,23-06-2020,76
PRESIDENTE MEDICI,24-06-2020,79
PRESIDENTE MEDICI,25-06-2020,86
PRESIDENTE MEDICI,26-06-2020,88
PRESIDENTE MEDICI,29-06-2020,95
PRESIDENTE MEDICI,30-06-2020,95
PRESIDENTE MEDICI,01-07-2020,103
PRESIDENTE MEDICI,02-07-2020,103
PRESIDENTE MEDICI,03-07-2020,105
PRESIDENTE MEDICI,06-07-2020,110
PRESIDENTE MEDICI,07-07-2020,117
PRESIDENTE MEDICI,08-07-2020,121
PRESIDENTE MEDICI,09-07-2020,121
PRESIDENTE MEDICI,10-07-2020,122
PRESIDENTE MEDICI,11-07-2020,122
PRESIDENTE MEDICI,13-07-2020,125
PRESIDENTE MEDICI,14-07-2020,126
PRESIDENTE MEDICI,15-07-2020,126
PRESIDENTE MEDICI,16-07-2020,130
PRESIDENTE MEDICI,17-07-2020,133
PRESIDENTE MEDICI,21-07-2020,140
PRESIDENTE MEDICI,22-07-2020,144
PRESIDENTE MEDICI,23-07-2020,146
PRESIDENTE MEDICI,24-07-2020,148
PRESIDENTE MEDICI,27-07-2020,151
PRESIDENTE MEDICI,28-07-2020,154
PRESIDENTE MEDICI,29-07-2020,154
PRESIDENTE MEDICI,30-07-2020,155
PRESIDENTE MEDICI,31-07-2020,158
PRESIDENTE MEDICI,03-08-2020,162
PRESIDENTE MEDICI,04-08-2020,164
PRESIDENTE MEDICI,05-08-2020,166
PRESIDENTE MEDICI,06-08-2020,171
PRESIDENTE MEDICI,07-08-2020,171
PRESIDENTE MEDICI,10-08-2020,171
PRESIDENTE MEDICI,11-08-2020,171
PRESIDENTE MEDICI,13-08-2020,171
