bairro,data,casos
SANDRA CAVALCANTE,11-05-2020,1
SANDRA CAVALCANTE,13-05-2020,1
SANDRA CAVALCANTE,15-05-2020,2
SANDRA CAVALCANTE,16-05-2020,2
SANDRA CAVALCANTE,17-05-2020,3
SANDRA CAVALCANTE,21-05-2020,3
SANDRA CAVALCANTE,23-05-2020,4
SANDRA CAVALCANTE,25-05-2020,7
SANDRA CAVALCANTE,26-05-2020,8
SANDRA CAVALCANTE,27-05-2020,10
SANDRA CAVALCANTE,28-05-2020,12
SANDRA CAVALCANTE,29-05-2020,12
SANDRA CAVALCANTE,31-05-2020,13
SANDRA CAVALCANTE,01-06-2020,15
SANDRA CAVALCANTE,02-06-2020,16
SANDRA CAVALCANTE,03-06-2020,19
SANDRA CAVALCANTE,04-06-2020,23
SANDRA CAVALCANTE,05-06-2020,23
SANDRA CAVALCANTE,06-06-2020,23
SANDRA CAVALCANTE,08-06-2020,24
SANDRA CAVALCANTE,09-06-2020,26
SANDRA CAVALCANTE,10-06-2020,28
SANDRA CAVALCANTE,11-06-2020,30
SANDRA CAVALCANTE,12-06-2020,33
SANDRA CAVALCANTE,13-06-2020,34
SANDRA CAVALCANTE,15-06-2020,34
SANDRA CAVALCANTE,16-06-2020,36
SANDRA CAVALCANTE,18-06-2020,37
SANDRA CAVALCANTE,19-06-2020,41
SANDRA CAVALCANTE,22-06-2020,49
SANDRA CAVALCANTE,23-06-2020,53
SANDRA CAVALCANTE,24-06-2020,54
SANDRA CAVALCANTE,25-06-2020,56
SANDRA CAVALCANTE,26-06-2020,57
SANDRA CAVALCANTE,29-06-2020,64
SANDRA CAVALCANTE,30-06-2020,65
SANDRA CAVALCANTE,01-07-2020,73
SANDRA CAVALCANTE,02-07-2020,73
SANDRA CAVALCANTE,03-07-2020,74
SANDRA CAVALCANTE,05-07-2020,74
SANDRA CAVALCANTE,06-07-2020,75
SANDRA CAVALCANTE,07-07-2020,78
SANDRA CAVALCANTE,08-07-2020,80
SANDRA CAVALCANTE,09-07-2020,83
SANDRA CAVALCANTE,10-07-2020,83
SANDRA CAVALCANTE,13-07-2020,84
SANDRA CAVALCANTE,14-07-2020,84
SANDRA CAVALCANTE,15-07-2020,85
SANDRA CAVALCANTE,16-07-2020,85
SANDRA CAVALCANTE,17-07-2020,89
SANDRA CAVALCANTE,20-07-2020,90
SANDRA CAVALCANTE,21-07-2020,97
SANDRA CAVALCANTE,22-07-2020,100
SANDRA CAVALCANTE,23-07-2020,102
SANDRA CAVALCANTE,27-07-2020,103
SANDRA CAVALCANTE,28-07-2020,103
SANDRA CAVALCANTE,29-07-2020,103
SANDRA CAVALCANTE,03-08-2020,107
SANDRA CAVALCANTE,04-08-2020,107
SANDRA CAVALCANTE,05-08-2020,109
SANDRA CAVALCANTE,06-08-2020,109
SANDRA CAVALCANTE,07-08-2020,109
SANDRA CAVALCANTE,10-08-2020,110
