bairro,data,casos
SANTO ANTONIO,2020-04-30,1
SANTO ANTONIO,2020-05-01,1
SANTO ANTONIO,2020-05-02,1
SANTO ANTONIO,2020-05-03,1
SANTO ANTONIO,2020-05-04,1
SANTO ANTONIO,2020-05-05,1
SANTO ANTONIO,2020-05-06,1
SANTO ANTONIO,2020-05-07,1
SANTO ANTONIO,2020-05-08,1
SANTO ANTONIO,2020-05-09,1
SANTO ANTONIO,2020-05-10,1
SANTO ANTONIO,2020-05-11,1
SANTO ANTONIO,2020-05-12,1
SANTO ANTONIO,2020-05-13,1
SANTO ANTONIO,2020-05-14,1
SANTO ANTONIO,2020-05-15,1
SANTO ANTONIO,2020-05-16,1
SANTO ANTONIO,2020-05-17,1
SANTO ANTONIO,2020-05-18,1
SANTO ANTONIO,2020-05-19,1
SANTO ANTONIO,2020-05-20,1
SANTO ANTONIO,2020-05-21,1
SANTO ANTONIO,2020-05-22,1
SANTO ANTONIO,2020-05-23,1
SANTO ANTONIO,2020-05-24,1
SANTO ANTONIO,2020-05-25,1
SANTO ANTONIO,2020-05-26,1
SANTO ANTONIO,2020-05-27,1
SANTO ANTONIO,2020-05-28,1
SANTO ANTONIO,2020-05-29,1
SANTO ANTONIO,2020-05-30,1
SANTO ANTONIO,2020-05-31,1
SANTO ANTONIO,2020-06-01,1
SANTO ANTONIO,2020-06-02,1
SANTO ANTONIO,2020-06-03,1
SANTO ANTONIO,2020-06-04,1
SANTO ANTONIO,2020-06-05,1
SANTO ANTONIO,2020-06-06,1
SANTO ANTONIO,2020-06-07,1
SANTO ANTONIO,2020-06-08,1
SANTO ANTONIO,2020-06-09,1
SANTO ANTONIO,2020-06-10,1
SANTO ANTONIO,2020-06-11,1
SANTO ANTONIO,2020-06-12,1
SANTO ANTONIO,2020-06-13,1
SANTO ANTONIO,2020-06-14,1
SANTO ANTONIO,2020-06-15,1
SANTO ANTONIO,2020-06-16,1
SANTO ANTONIO,2020-06-17,1
SANTO ANTONIO,2020-06-18,1
SANTO ANTONIO,2020-06-19,1
SANTO ANTONIO,2020-06-20,1
SANTO ANTONIO,2020-06-21,1
SANTO ANTONIO,2020-06-22,1
SANTO ANTONIO,2020-06-23,1
SANTO ANTONIO,2020-06-24,1
SANTO ANTONIO,2020-06-25,1
SANTO ANTONIO,2020-06-26,1
SANTO ANTONIO,2020-06-27,1
SANTO ANTONIO,2020-06-28,1
SANTO ANTONIO,2020-06-29,1
SANTO ANTONIO,2020-06-30,1
SANTO ANTONIO,2020-07-01,1
SANTO ANTONIO,2020-07-02,1
SANTO ANTONIO,2020-07-03,1
SANTO ANTONIO,2020-07-04,1
SANTO ANTONIO,2020-07-05,1
SANTO ANTONIO,2020-07-06,1
SANTO ANTONIO,2020-07-07,1
SANTO ANTONIO,2020-07-08,1
SANTO ANTONIO,2020-07-09,1
SANTO ANTONIO,2020-07-10,1
SANTO ANTONIO,2020-07-11,1
SANTO ANTONIO,2020-07-12,1
SANTO ANTONIO,2020-07-13,1
SANTO ANTONIO,2020-07-14,1
SANTO ANTONIO,2020-07-15,1
SANTO ANTONIO,2020-07-16,1
SANTO ANTONIO,2020-07-17,1
SANTO ANTONIO,2020-07-18,1
SANTO ANTONIO,2020-07-19,1
SANTO ANTONIO,2020-07-20,1
SANTO ANTONIO,2020-07-21,1
SANTO ANTONIO,2020-07-22,1
SANTO ANTONIO,2020-07-23,1
SANTO ANTONIO,2020-07-24,1
SANTO ANTONIO,2020-07-25,1
SANTO ANTONIO,2020-07-26,1
SANTO ANTONIO,2020-07-27,1
SANTO ANTONIO,2020-07-28,1
SANTO ANTONIO,2020-07-29,1
SANTO ANTONIO,2020-07-30,1
SANTO ANTONIO,2020-07-31,1
SANTO ANTONIO,2020-08-01,1
SANTO ANTONIO,2020-08-02,1
SANTO ANTONIO,2020-08-03,1
SANTO ANTONIO,2020-08-04,1
SANTO ANTONIO,2020-08-05,1
SANTO ANTONIO,2020-08-06,1
SANTO ANTONIO,2020-08-07,1
SANTO ANTONIO,2020-08-08,1
SANTO ANTONIO,2020-08-09,1
SANTO ANTONIO,2020-08-10,1
SANTO ANTONIO,2020-08-11,1
SANTO ANTONIO,2020-08-12,1
SANTO ANTONIO,2020-08-13,1
SANTO ANTONIO,30-04-2020,1
SANTO ANTONIO,05-05-2020,1
SANTO ANTONIO,08-05-2020,2
SANTO ANTONIO,12-05-2020,2
SANTO ANTONIO,14-05-2020,5
SANTO ANTONIO,15-05-2020,5
SANTO ANTONIO,16-05-2020,6
SANTO ANTONIO,17-05-2020,6
SANTO ANTONIO,18-05-2020,7
SANTO ANTONIO,19-05-2020,9
SANTO ANTONIO,20-05-2020,10
SANTO ANTONIO,21-05-2020,11
SANTO ANTONIO,22-05-2020,15
SANTO ANTONIO,23-05-2020,15
SANTO ANTONIO,26-05-2020,16
SANTO ANTONIO,27-05-2020,18
SANTO ANTONIO,28-05-2020,19
SANTO ANTONIO,29-05-2020,26
SANTO ANTONIO,30-05-2020,28
SANTO ANTONIO,31-05-2020,30
SANTO ANTONIO,01-06-2020,33
SANTO ANTONIO,02-06-2020,37
SANTO ANTONIO,03-06-2020,39
SANTO ANTONIO,04-06-2020,40
SANTO ANTONIO,05-06-2020,44
SANTO ANTONIO,06-06-2020,45
SANTO ANTONIO,07-06-2020,47
SANTO ANTONIO,08-06-2020,53
SANTO ANTONIO,09-06-2020,54
SANTO ANTONIO,10-06-2020,57
SANTO ANTONIO,11-06-2020,58
SANTO ANTONIO,12-06-2020,61
SANTO ANTONIO,13-06-2020,62
SANTO ANTONIO,14-06-2020,64
SANTO ANTONIO,15-06-2020,67
SANTO ANTONIO,16-06-2020,68
SANTO ANTONIO,17-06-2020,78
SANTO ANTONIO,18-06-2020,80
SANTO ANTONIO,19-06-2020,80
SANTO ANTONIO,20-06-2020,80
SANTO ANTONIO,22-06-2020,82
SANTO ANTONIO,23-06-2020,84
SANTO ANTONIO,24-06-2020,89
SANTO ANTONIO,25-06-2020,89
SANTO ANTONIO,26-06-2020,92
SANTO ANTONIO,27-06-2020,92
SANTO ANTONIO,29-06-2020,96
SANTO ANTONIO,30-06-2020,97
SANTO ANTONIO,01-07-2020,98
SANTO ANTONIO,02-07-2020,101
SANTO ANTONIO,03-07-2020,103
SANTO ANTONIO,04-07-2020,103
SANTO ANTONIO,05-07-2020,103
SANTO ANTONIO,06-07-2020,104
SANTO ANTONIO,07-07-2020,104
SANTO ANTONIO,08-07-2020,104
SANTO ANTONIO,09-07-2020,105
SANTO ANTONIO,10-07-2020,108
SANTO ANTONIO,13-07-2020,110
SANTO ANTONIO,14-07-2020,110
SANTO ANTONIO,15-07-2020,114
SANTO ANTONIO,16-07-2020,116
SANTO ANTONIO,17-07-2020,119
SANTO ANTONIO,19-07-2020,119
SANTO ANTONIO,21-07-2020,119
SANTO ANTONIO,22-07-2020,123
SANTO ANTONIO,24-07-2020,123
SANTO ANTONIO,27-07-2020,123
SANTO ANTONIO,28-07-2020,124
SANTO ANTONIO,29-07-2020,129
SANTO ANTONIO,30-07-2020,130
SANTO ANTONIO,04-08-2020,135
SANTO ANTONIO,05-08-2020,136
SANTO ANTONIO,06-08-2020,136
SANTO ANTONIO,07-08-2020,138
SANTO ANTONIO,11-08-2020,143
SANTO ANTONIO,12-08-2020,144
SANTO ANTONIO,13-08-2020,146
