bairro,data,casos
SAO JOSE,2020-11-05,1
SAO JOSE,2020-11-06,1
SAO JOSE,2020-11-07,1
SAO JOSE,2020-11-08,1
SAO JOSE,2020-11-09,1
SAO JOSE,2020-11-10,1
SAO JOSE,2020-11-11,1
SAO JOSE,2020-11-12,1
SAO JOSE,2020-11-13,1
SAO JOSE,2020-11-14,1
SAO JOSE,2020-11-15,1
SAO JOSE,2020-11-16,1
SAO JOSE,2020-11-17,1
SAO JOSE,2020-11-18,1
SAO JOSE,2020-11-19,1
SAO JOSE,2020-11-20,1
SAO JOSE,2020-11-21,1
SAO JOSE,2020-11-22,1
SAO JOSE,2020-11-23,1
SAO JOSE,2020-11-24,1
SAO JOSE,2020-11-25,1
SAO JOSE,2020-11-26,1
SAO JOSE,2020-11-27,1
SAO JOSE,2020-11-28,1
SAO JOSE,2020-11-29,1
SAO JOSE,2020-11-30,1
SAO JOSE,2020-12-01,1
SAO JOSE,2020-12-02,1
SAO JOSE,2020-12-03,1
SAO JOSE,2020-12-04,1
SAO JOSE,2020-12-05,1
SAO JOSE,2020-12-06,1
SAO JOSE,2020-12-07,1
SAO JOSE,2020-12-08,1
SAO JOSE,11-05-2020,1
SAO JOSE,14-05-2020,1
SAO JOSE,15-05-2020,3
SAO JOSE,17-05-2020,4
SAO JOSE,18-05-2020,4
SAO JOSE,19-05-2020,5
SAO JOSE,21-05-2020,8
SAO JOSE,22-05-2020,9
SAO JOSE,25-05-2020,11
SAO JOSE,26-05-2020,11
SAO JOSE,27-05-2020,11
SAO JOSE,28-05-2020,12
SAO JOSE,29-05-2020,13
SAO JOSE,30-05-2020,14
SAO JOSE,02-06-2020,17
SAO JOSE,03-06-2020,17
SAO JOSE,04-06-2020,20
SAO JOSE,05-06-2020,23
SAO JOSE,06-06-2020,26
SAO JOSE,07-06-2020,26
SAO JOSE,08-06-2020,27
SAO JOSE,09-06-2020,29
SAO JOSE,11-06-2020,30
SAO JOSE,12-06-2020,30
SAO JOSE,13-06-2020,31
SAO JOSE,15-06-2020,31
SAO JOSE,16-06-2020,32
SAO JOSE,18-06-2020,34
SAO JOSE,19-06-2020,37
SAO JOSE,21-06-2020,37
SAO JOSE,22-06-2020,40
SAO JOSE,23-06-2020,44
SAO JOSE,24-06-2020,45
SAO JOSE,25-06-2020,47
SAO JOSE,26-06-2020,49
SAO JOSE,27-06-2020,49
SAO JOSE,29-06-2020,50
SAO JOSE,30-06-2020,52
SAO JOSE,01-07-2020,52
SAO JOSE,02-07-2020,57
SAO JOSE,03-07-2020,62
SAO JOSE,06-07-2020,65
SAO JOSE,07-07-2020,74
SAO JOSE,09-07-2020,80
SAO JOSE,10-07-2020,80
SAO JOSE,13-07-2020,80
SAO JOSE,14-07-2020,80
SAO JOSE,16-07-2020,81
SAO JOSE,17-07-2020,81
SAO JOSE,20-07-2020,81
SAO JOSE,21-07-2020,84
SAO JOSE,22-07-2020,91
SAO JOSE,23-07-2020,92
SAO JOSE,24-07-2020,94
SAO JOSE,27-07-2020,98
SAO JOSE,28-07-2020,98
SAO JOSE,29-07-2020,99
SAO JOSE,31-07-2020,101
SAO JOSE,01-08-2020,101
SAO JOSE,03-08-2020,101
SAO JOSE,04-08-2020,101
SAO JOSE,05-08-2020,101
SAO JOSE,06-08-2020,101
SAO JOSE,07-08-2020,101
SAO JOSE,08-08-2020,101
SAO JOSE,10-08-2020,106
SAO JOSE,11-08-2020,106
SAO JOSE,12-08-2020,107
