bairro,data,casos
TAMBOR,2020-12-05,1
TAMBOR,2020-12-06,1
TAMBOR,2020-12-07,1
TAMBOR,2020-12-08,1
TAMBOR,12-05-2020,1
TAMBOR,13-05-2020,1
TAMBOR,15-05-2020,1
TAMBOR,19-05-2020,2
TAMBOR,22-05-2020,4
TAMBOR,23-05-2020,4
TAMBOR,25-05-2020,5
TAMBOR,26-05-2020,5
TAMBOR,28-05-2020,7
TAMBOR,29-05-2020,9
TAMBOR,31-05-2020,10
TAMBOR,01-06-2020,10
TAMBOR,03-06-2020,12
TAMBOR,04-06-2020,13
TAMBOR,05-06-2020,14
TAMBOR,06-06-2020,14
TAMBOR,07-06-2020,15
TAMBOR,08-06-2020,18
TAMBOR,09-06-2020,21
TAMBOR,10-06-2020,21
TAMBOR,11-06-2020,25
TAMBOR,12-06-2020,28
TAMBOR,13-06-2020,29
TAMBOR,15-06-2020,31
TAMBOR,16-06-2020,33
TAMBOR,17-06-2020,36
TAMBOR,18-06-2020,40
TAMBOR,19-06-2020,41
TAMBOR,24-06-2020,41
TAMBOR,25-06-2020,43
TAMBOR,26-06-2020,43
TAMBOR,29-06-2020,44
TAMBOR,30-06-2020,44
TAMBOR,01-07-2020,45
TAMBOR,02-07-2020,46
TAMBOR,08-07-2020,47
TAMBOR,09-07-2020,48
TAMBOR,10-07-2020,48
TAMBOR,13-07-2020,48
TAMBOR,14-07-2020,50
TAMBOR,15-07-2020,50
TAMBOR,16-07-2020,51
TAMBOR,17-07-2020,52
TAMBOR,20-07-2020,52
TAMBOR,21-07-2020,57
TAMBOR,22-07-2020,58
TAMBOR,24-07-2020,58
TAMBOR,27-07-2020,58
TAMBOR,28-07-2020,58
TAMBOR,29-07-2020,59
TAMBOR,30-07-2020,61
TAMBOR,31-07-2020,63
TAMBOR,03-08-2020,63
TAMBOR,04-08-2020,63
TAMBOR,05-08-2020,63
TAMBOR,06-08-2020,63
TAMBOR,11-08-2020,65
TAMBOR,12-08-2020,66
