bairro,data,casos
VELAME,2020-12-05,1
VELAME,2020-12-06,1
VELAME,2020-12-07,1
VELAME,2020-12-08,1
VELAME,12-05-2020,1
VELAME,16-05-2020,1
VELAME,18-05-2020,1
VELAME,19-05-2020,3
VELAME,20-05-2020,4
VELAME,21-05-2020,4
VELAME,22-05-2020,8
VELAME,23-05-2020,9
VELAME,26-05-2020,9
VELAME,27-05-2020,10
VELAME,28-05-2020,13
VELAME,29-05-2020,14
VELAME,30-05-2020,16
VELAME,31-05-2020,17
VELAME,01-06-2020,18
VELAME,02-06-2020,22
VELAME,03-06-2020,26
VELAME,05-06-2020,28
VELAME,06-06-2020,29
VELAME,08-06-2020,36
VELAME,09-06-2020,39
VELAME,10-06-2020,44
VELAME,11-06-2020,45
VELAME,12-06-2020,45
VELAME,14-06-2020,45
VELAME,15-06-2020,47
VELAME,17-06-2020,51
VELAME,18-06-2020,51
VELAME,19-06-2020,55
VELAME,22-06-2020,62
VELAME,23-06-2020,65
VELAME,24-06-2020,70
VELAME,25-06-2020,73
VELAME,26-06-2020,73
VELAME,29-06-2020,82
VELAME,30-06-2020,82
VELAME,01-07-2020,87
VELAME,02-07-2020,89
VELAME,03-07-2020,89
VELAME,04-07-2020,90
VELAME,05-07-2020,90
VELAME,06-07-2020,91
VELAME,07-07-2020,95
VELAME,08-07-2020,102
VELAME,09-07-2020,102
VELAME,10-07-2020,104
VELAME,13-07-2020,106
VELAME,14-07-2020,108
VELAME,16-07-2020,109
VELAME,17-07-2020,110
VELAME,21-07-2020,111
VELAME,22-07-2020,120
VELAME,23-07-2020,120
VELAME,24-07-2020,123
VELAME,27-07-2020,125
VELAME,28-07-2020,128
VELAME,29-07-2020,129
VELAME,30-07-2020,129
VELAME,31-07-2020,129
VELAME,04-08-2020,130
VELAME,05-08-2020,130
VELAME,10-08-2020,132
VELAME,11-08-2020,133
VELAME,12-08-2020,134
